feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
svd_2,60533.0,0.1298215914522693,2.554781435552239e-13,3.270120237506866e-11,up
svd_1,55613.0,0.13716469566583706,5.774305663134328e-07,3.69555562440597e-05,up
svd_15,53238.0,0.011102324890113268,0.00010447244868347614,0.004457491143828316,up
svd_0,51596.0,0.07525621069376953,0.0018927738481305423,0.060568763140177354,up
svd_6,39416.0,-0.024504091600622738,0.008541087358184964,0.21865183636953506,down
svd_48,50013.0,0.003068926210443463,0.0182282607041825,0.38886956168922665,up
svd_38,49881.0,0.0037825217645320237,0.021517723931277,0.393466951886208,up
svd_9,40367.0,-0.013651916807775229,0.02911219740102434,0.4648118600338456,down
svd_10,40527.0,-0.015506177131217148,0.03515209771180287,0.4648118600338456,down
svd_36,49362.0,0.0036160177005444914,0.039944769221658606,0.4648118600338456,up
svd_104,40594.0,-0.0012026071836807426,0.03798244473582422,0.4648118600338456,down
svd_12,49107.0,0.00793003593000462,0.053087129918976766,0.5497960959851868,up
svd_13,41135.0,-0.006978825948616653,0.06872451199814834,0.5497960959851868,down
svd_31,49051.0,0.0035578777498501213,0.05641256996425663,0.5497960959851868,up
svd_37,41102.0,-0.003437148181649452,0.0663916877773622,0.5497960959851868,down
svd_67,41024.0,-0.0013059519067739108,0.061136232048010976,0.5497960959851868,down
svd_125,48663.0,0.0008700800814808477,0.0845126801557198,0.6363307682313021,up
svd_45,41537.0,-0.002250597272855572,0.10291571593176534,0.6933269283824192,down
svd_75,48481.0,0.0011933787867799707,0.10113874996599485,0.6933269283824192,up
svd_60,48391.0,0.0010021728241491122,0.11027311328776282,0.705747925041682,up
svd_5,48277.0,0.023886994999112995,0.1227649426457798,0.748281555174277,up
svd_8,41960.0,-0.0064272099305928195,0.1522464454886851,0.7976132350571851,down
svd_33,41861.0,-0.002357485523500593,0.139335067087382,0.7976132350571851,down
svd_34,48087.0,0.0028365959136358726,0.14600756658704453,0.7976132350571851,up
svd_111,48014.0,0.0009478927809498103,0.15578383497210646,0.7976132350571851,up
svd_19,47905.0,0.005550921666363058,0.17129490487750143,0.8113285165635986,up
svd_25,47914.0,0.0021447699582009647,0.16997194232368118,0.8113285165635986,up
svd_55,47793.0,0.0012390950204719474,0.18840859554592748,0.8113285165635986,up
svd_82,42218.0,-0.0009020690628469141,0.19015512106959342,0.8113285165635986,down
svd_94,47843.0,0.0006105226722950342,0.18061882436290966,0.8113285165635986,up
svd_53,47539.0,0.0017526446016124992,0.23182754761239777,0.9572234223995779,up
svd_3,45276.0,0.007475886272015323,0.8967532614242192,0.9869712568354999,up
svd_4,44719.0,0.011037546669071257,0.8948902351931518,0.9869712568354999,up
svd_7,47087.0,0.009030090943526272,0.32572217550649685,0.9869712568354999,up
svd_11,46208.0,0.001913962403862874,0.5695277110919208,0.9869712568354999,up
svd_14,43149.0,0.0018275849440021787,0.38342224955091675,0.9869712568354999,up
svd_16,45418.0,0.00173794292812785,0.844103331976646,0.9869712568354999,up
svd_17,46260.0,0.003233825234835421,0.5530206582155139,0.9869712568354999,up
svd_18,45447.0,0.0016743591576802103,0.8334281224191367,0.9869712568354999,up
svd_20,45542.0,0.0005038415827819213,0.7986820931504965,0.9869712568354999,up
svd_21,46075.0,0.0028278079040381246,0.6127846387550746,0.9869712568354999,up
svd_22,47193.0,0.002434708368706732,0.30174703259186775,0.9869712568354999,up
svd_23,44015.0,-0.000913024996087318,0.6428544673236668,0.9869712568354999,down
svd_24,45499.0,0.0010112353457285307,0.8143643024602735,0.9869712568354999,up
svd_26,43304.0,-0.00035401003774619217,0.42452172577465175,0.9869712568354999,down
svd_27,46943.0,3.720767122498553e-05,0.3602225267575232,0.9869712568354999,up
svd_28,45882.0,0.0017510107067283506,0.677997525388335,0.9869712568354999,up
svd_29,44345.0,-0.00110101332427303,0.7578712096925853,0.9869712568354999,down
svd_30,45868.0,0.0008875025193257396,0.68283098394789,0.9869712568354999,up
svd_32,44448.0,0.00015248193603213363,0.7950464280681067,0.9869712568354999,up
svd_35,46643.0,0.00143857086928643,0.4391451919666063,0.9869712568354999,up
svd_39,46478.0,0.0009007039181187535,0.4864786263498,0.9869712568354999,up
svd_40,46397.0,0.00014957440801618353,0.5106868976688994,0.9869712568354999,up
svd_41,45204.0,0.0006856474769476309,0.9236389295816427,0.9869712568354999,up
svd_42,45988.0,0.0005947743314366801,0.6418422862396007,0.9869712568354999,up
svd_43,45791.0,0.0004484305693569783,0.7096433506539861,0.9869712568354999,up
svd_44,46671.0,0.00048707548092937256,0.4313838266814298,0.9869712568354999,up
svd_46,45371.0,0.00026425340685471994,0.8614646642453295,0.9869712568354999,up
svd_47,44503.0,-0.00037991423851397205,0.8150955739587114,0.9869712568354999,down
svd_49,45698.0,0.0004902920532010291,0.7425102156909591,0.9869712568354999,up
svd_50,45247.0,9.310048381366018e-05,0.9075697217352295,0.9869712568354999,up
svd_51,46458.0,0.000667372900384587,0.4923977107053582,0.9869712568354999,up
svd_52,44611.0,-0.00010024409766163889,0.8548072540861743,0.9869712568354999,down
svd_56,43498.0,-0.001005705019089829,0.4794268020022584,0.9869712568354999,down
svd_57,43793.0,-0.0005626983477521441,0.5698474452226163,0.9869712568354999,down
svd_58,44192.0,-0.00012384347444215071,0.7036913170609338,0.9869712568354999,down
svd_59,44088.0,-0.0007807702853771727,0.6676848363573418,0.9869712568354999,down
svd_61,45364.0,0.00017347429663766881,0.8640563446634499,0.9869712568354999,up
svd_62,45179.0,0.001020756609738772,0.9329962662273085,0.9869712568354999,up
