feature,active_fraction,mean_activation_when_active
11833,1.0,0.002870676914850871
31220,1.0,0.004107549587885539
13396,1.0,0.009840296904246012
25247,1.0,0.030674235026041666
7424,1.0,0.0053579243024190265
19600,1.0,0.021817564964294434
4264,1.0,0.003480517864227295
25196,1.0,0.009240938822428385
19639,1.0,0.013888899485270183
25188,1.0,0.0351476256052653
876,1.0,0.03824268023173014
872,1.0,0.17661120096842448
19988,1.0,0.011649030844370524
16571,1.0,0.09221638361612956
19670,1.0,0.003629219134648641
31238,1.0,0.009405094782511393
2627,1.0,0.006832531293233236
19675,1.0,0.001813392440478007
19681,1.0,0.025575594902038576
2626,1.0,0.02143288771311442
25146,1.0,0.013291475772857666
19697,1.0,0.00830380360285441
19566,1.0,0.008257834911346436
13401,1.0,0.001441838840643565
25284,1.0,0.0026275207599004108
19549,1.0,0.00979438861211141
25376,1.0,0.009254456361134847
9129,1.0,0.031779546737670895
7489,1.0,0.05674170176188151
4186,1.0,0.010029776891072591
