feature,aim1_effect_coding_minus_other,aim2_effect_sweep_minus_control,in_top200_both
192,-3.071322e-05,0.00057128724,False
193,3.1742175e-06,-1.5092122e-05,False
194,0.0,1.1392617e-07,False
195,-1.7615545e-06,-8.3742634e-08,False
196,1.7405728e-05,-2.1780957e-05,False
197,-2.2786385e-07,5.3432086e-06,False
198,0.0,0.0,False
199,0.0,0.0,False
200,4.5224306e-06,1.3820478e-05,False
201,1.0112539e-06,0.0,False
202,0.0,0.0,False
203,0.0,0.0,False
204,0.0,0.0,False
205,-2.0002555e-05,0.00023667072,False
206,0.0,0.0,False
207,0.0,0.0,False
208,0.0,0.0,False
209,-2.3111465e-07,-1.0592557e-06,False
210,0.0,0.0,False
211,0.0,0.0,False
212,0.0,0.0,False
213,0.0,0.0,False
214,5.181217e-09,0.0,False
215,0.0,0.0,False
216,-1.7893312e-08,-2.3655275e-08,False
217,-3.3887467e-08,2.5315666e-07,False
218,0.0,0.0,False
219,-2.3814364e-06,1.628776e-05,False
220,-3.839116e-06,3.371622e-05,False
221,0.0,0.0,False
222,-1.020839e-06,1.0032763e-06,False
223,-6.0571546e-07,-5.9863287e-06,False
224,0.0,0.0,False
225,0.0,0.0,False
226,0.0,0.0,False
227,0.0,0.0,False
228,-1.4773887e-08,0.0,False
229,0.0,0.0,False
230,0.0,0.0,False
231,0.0,0.0,False
232,0.0,0.0,False
233,0.0,0.0,False
234,-4.4526874e-07,-8.5638624e-07,False
235,-1.2148819e-06,1.3777571e-07,False
236,3.5945053e-05,-8.785457e-06,False
237,1.7091847e-06,-4.027399e-06,False
238,0.0,0.0,False
239,0.0,0.0,False
240,0.0,0.0,False
241,2.3949767e-08,-1.6367267e-08,False
242,2.5324064e-07,9.629116e-07,False
243,0.0,0.0,False
244,0.0,0.0,False
245,0.0,0.0,False
246,0.0,0.0,False
247,0.0,0.0,False
248,0.0,0.0,False
249,2.8910665e-07,-1.767823e-05,False
250,1.5841644e-05,0.0004774338,False
251,0.0,0.0,False
252,0.0,0.0,False
253,-0.00016215353,0.010063045,False
254,0.0,0.0,False
255,0.0,0.0,False
256,0.0,0.0,False
257,0.0,0.0,False
258,0.0,0.0,False
259,0.0,0.0,False
260,0.0,0.0,False
261,1.2333089e-07,4.4486728e-07,False
262,0.0,0.0,False
263,0.0,0.0,False
264,0.0,0.0,False
265,0.0,0.0,False
266,8.617751e-06,-5.3127995e-05,False
267,0.0,0.0,False
268,0.0,0.0,False
269,-9.3036795e-07,-4.2950887e-07,False
270,2.3467217e-06,-2.812759e-05,False
271,0.0,0.0,False
272,0.0,0.0,False
273,3.0521775e-07,-9.74344e-07,False
274,-1.192538e-06,7.387754e-05,False
275,0.0,0.0,False
276,6.1877905e-08,0.0,False
277,0.0,0.0,False
278,4.4387148e-06,-7.535177e-05,False
279,1.4971707e-06,-6.6522184e-06,False
280,0.0,0.0,False
281,-1.770348e-06,-3.402438e-07,False
282,7.0254984e-08,-1.2021162e-07,False
283,0.0,0.0,False
284,0.0,0.0,False
285,0.0,0.0,False
286,0.0,0.0,False
287,0.0,0.0,False
288,0.0,0.0,False
289,-1.0174639e-07,-6.954433e-06,False
290,1.1226667e-07,0.0,False
291,1.6901302e-05,0.00032425974,False
292,0.0,0.0,False
293,0.0,0.0,False
294,-0.0001287208,-0.0011874377,False
295,0.0,0.0,False
296,0.0,0.0,False
297,0.0,0.0,False
298,0.0,0.0,False
299,0.0,0.0,False
300,3.0374017e-06,-2.1704542e-05,False
301,-3.2740223e-07,5.841308e-07,False
302,-0.00016594959,0.0047701485,False
303,3.3187285e-07,-2.5056866e-07,False
304,0.0,0.0,False
305,0.0,0.0,False
306,0.0,0.0,False
307,1.7046531e-08,-7.259226e-08,False
308,-1.6287968e-06,4.6281357e-06,False
309,-2.5284464e-07,-7.031131e-07,False
310,-6.809088e-07,6.274492e-05,False
311,0.0,0.0,False
312,-2.827854e-06,7.014669e-05,False
313,-0.00027506222,0.0026373425,False
314,0.0,0.0,False
315,-7.487337e-09,5.914985e-08,False
316,0.0,0.0,False
317,1.0919015e-08,0.0,False
318,-4.483386e-06,9.821454e-05,False
319,0.0,0.0,False
320,-2.2802951e-06,8.586093e-05,False
321,2.9623316e-05,-0.00053874997,False
322,-1.3941955e-06,4.2603606e-06,False
323,0.0,0.0,False
324,0.0,0.0,False
325,0.0,0.0,False
326,5.7535844e-06,0.00017007193,False
327,0.0,0.0,False
328,0.0,0.0,False
329,0.0,0.0,False
330,-2.0482848e-06,0.00077582337,False
331,0.0,0.0,False
332,0.0,0.0,False
333,2.0764858e-06,2.4607598e-06,False
334,4.1219717e-09,0.0,False
335,0.0,0.0,False
336,-6.727766e-06,2.0679985e-05,False
337,0.0,0.0,False
338,5.0681223e-08,-1.1206987e-07,False
339,3.5944495e-07,3.3277138e-07,False
340,0.0,0.0,False
341,1.1115522e-07,-8.0962127e-07,False
342,0.0,0.0,False
343,7.451018e-09,2.3179254e-09,False
344,0.0,0.0,False
345,0.0,0.0,False
346,-2.4132166e-07,0.0,False
347,0.0,0.0,False
348,0.0,0.0,False
349,4.2594985e-09,2.947692e-07,False
350,3.021012e-05,0.0001007535,False
351,8.335812e-07,-3.4007248e-06,False
352,2.9184628e-06,-3.2740125e-05,False
353,0.00031980954,0.0012117606,False
354,0.0,0.0,False
355,2.272033e-07,0.0,False
356,0.0,0.0,False
357,0.0,0.0,False
358,0.0,0.0,False
359,1.6566271e-06,-1.1406739e-05,False
360,0.0,0.0,False
361,0.0,0.0,False
362,0.0,0.0,False
363,0.0,0.0,False
364,0.0,0.0,False
365,0.0,0.0,False
366,0.0,0.0,False
367,3.0335826e-07,1.7270449e-07,False
368,0.0,0.0,False
369,1.8864061e-07,-6.629839e-06,False
370,0.0,0.0,False
371,0.0,0.0,False
372,0.0,0.0,False
373,0.0,0.0,False
374,0.0,0.0,False
375,0.0,0.0,False
376,-2.2033273e-09,-7.426568e-07,False
377,-1.306225e-05,-2.3052387e-05,False
378,0.0,0.0,False
379,0.0,0.0,False
380,0.0,0.0,False
381,-1.3252813e-06,-7.179173e-06,False
382,0.0,0.0,False
383,0.0,0.0,False
384,0.0,-1.541783e-07,False
385,-1.5016394e-07,-5.5679948e-08,False
386,0.0,0.0,False
387,4.287427e-06,5.499585e-05,False
388,0.0,0.0,False
389,0.0,0.0,False
390,0.0,0.0,False
391,0.0,0.0,False
392,-4.9406758e-08,-6.4985795e-07,False
393,-2.538465e-07,-2.5086952e-06,False
394,4.350263e-08,0.0,False
395,0.0,0.0,False
396,0.0,0.0,False
397,1.8144154e-05,9.224961e-05,False
398,0.0,0.0,False
399,0.0,0.0,False
400,-3.3762566e-07,7.4572945e-06,False
401,0.0,0.0,False
402,-4.988452e-08,-4.359467e-07,False
403,0.0,0.0,False
404,0.0,0.0,False
405,0.0,0.0,False
406,1.5093194e-07,-1.9243214e-07,False
407,-4.2684555e-06,0.00011218316,False
408,-1.696298e-06,-1.0648905e-06,False
409,0.0,0.0,False
410,0.0,0.0,False
411,-2.8570243e-05,-0.00016936753,False
412,0.0,0.0,False
413,3.681629e-06,0.00010188756,False
414,0.0,0.0,False
415,0.0,0.0,False
416,0.0,0.0,False
417,1.9049129e-07,-1.2797266e-06,False
418,-1.6549109e-07,3.3086053e-08,False
419,0.0,0.0,False
420,-3.2490004e-06,-5.085267e-07,False
421,0.0,0.0,False
422,0.0,0.0,False
423,0.0,0.0,False
424,1.0972063e-06,4.293106e-05,False
425,1.4541348e-07,-2.783088e-06,False
426,0.0,0.0,False
427,0.0,0.0,False
428,0.0,0.0,False
429,0.0,0.0,False
430,0.0,0.0,False
431,0.0,0.0,False
432,0.0,0.0,False
433,0.0,0.0,False
434,-1.2913162e-07,0.0,False
435,0.0,0.0,False
436,0.0,0.0,False
437,0.0,5.0800374e-08,False
438,1.3744321e-07,-1.3875615e-06,False
439,0.0,0.0,False
440,0.0,0.0,False
441,-2.957142e-08,-1.4892009e-06,False
442,0.0,0.0,False
443,4.183685e-05,0.00024297927,False
444,0.0,0.0,False
445,0.0,0.0,False
446,0.0,0.0,False
447,2.7334102e-07,-3.0444912e-06,False
448,0.0,0.0,False
449,0.0,0.0,False
