covariates_residualized,auroc,ci_low,ci_high
none,0.6241888888888889,0.5795370548975735,0.6805190433925049
+GC,0.6265666666666667,0.5806298158994393,0.6828491735537189
+GC+repeat,0.6290222222222223,0.583094723183391,0.684073784170375
+GC+repeat+gene_density,0.6291666666666667,0.5847016899897213,0.6808623649078194
+GC+repeat+gene_density+mappability,0.6198,0.576490239410902,0.6716989644970414
