component,composition_r2,explained_variance_ratio
svd_0,0.37684867035603353,0.15910875797271729
svd_1,0.7592472769461142,0.26357221603393555
svd_2,0.11683456963749927,0.10367172956466675
svd_3,0.7222101237295935,0.08335363864898682
svd_4,0.0977749626747273,0.0709947794675827
svd_5,0.04646312460944413,0.06422115862369537
