feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
f2,15146.0,0.6736922845947304,2.1559230786810193e-07,1.3797907703558524e-05,up
f0,14705.0,0.6021433046973523,4.258655371977615e-06,0.0001362769719032837,up
f3,13768.0,0.40756247371177556,0.0008049525044771762,0.017172320095513092,up
f11,12885.0,0.294503154173613,0.029576939525762,0.473231032412192,up
f1,12762.0,0.2726611035321388,0.04422174819487374,0.5660383768943839,up
f29,9929.0,-0.18810993213390528,0.07879183714184447,0.6303346971347558,down
f38,12626.0,0.18970213947909298,0.06710786399119974,0.6303346971347558,up
f42,12585.0,0.15929322638035145,0.07567110068006112,0.6303346971347558,up
f7,12323.0,0.15842113647471545,0.1534005125961654,0.6927366208837735,up
f9,12228.0,0.11594497217221522,0.19320146021217077,0.6927366208837735,up
f18,12222.0,0.11299944644998322,0.19594887112844994,0.6927366208837735,up
f22,12493.0,0.16026454199009538,0.09814530483726573,0.6927366208837735,up
f31,10210.0,-0.1847771189563704,0.16645163270775576,0.6927366208837735,down
f32,12306.0,0.14331251130626538,0.16002317383901876,0.6927366208837735,up
f33,10102.0,-0.14929449060402172,0.1266475716220028,0.6927366208837735,down
f37,12255.0,0.1134537103982309,0.18118781826146968,0.6927366208837735,up
f39,10301.0,-0.18044008580831625,0.20674586071521106,0.6927366208837735,down
f45,10183.0,-0.20114715971617678,0.15571370575513332,0.6927366208837735,down
f55,10321.0,-0.11065817197342814,0.21648019402617924,0.6927366208837735,down
f60,10182.0,-0.19960355489130693,0.15532634592665848,0.6927366208837735,down
f5,12137.0,0.07797252695737247,0.2379863300328069,0.7019305569282567,up
f20,10381.0,-0.16228801108329505,0.2476505578790018,0.7019305569282567,down
f46,12096.0,0.1289029073399808,0.26039452723858636,0.7019305569282567,up
f56,10409.0,-0.11532421494886982,0.26322395884809624,0.7019305569282567,down
f28,12061.0,0.12631312523576257,0.28064566370563937,0.70701669683168,up
f43,10450.0,-0.1529189350459588,0.28722553308787,0.70701669683168,down
f12,11886.0,0.08986237668458766,0.3975947903783954,0.7270304738347801,up
f16,11986.0,0.10338292616349964,0.3275620453709004,0.7270304738347801,up
f17,10575.0,-0.03769105858580209,0.36927182585167884,0.7270304738347801,down
f19,10606.0,-0.10687888827904199,0.39168060035842256,0.7270304738347801,down
f34,10546.0,-0.08653791318843068,0.34904640086992567,0.7270304738347801,down
f44,11995.0,0.07465618208983232,0.3216775982044654,0.7270304738347801,up
f48,10534.0,-0.09745088891505932,0.3408870803397872,0.7270304738347801,down
f51,10599.0,-0.08190845144320637,0.38654972975593793,0.7270304738347801,down
f58,10571.0,-0.11155214250349671,0.3664395786403194,0.7270304738347801,down
f59,10648.0,-0.052175694110415484,0.4233246453087969,0.7322372243179189,down
f62,10644.0,-0.1341574216376811,0.4202479621909434,0.7322372243179189,down
f6,11792.0,0.10289681591433271,0.47103278054013886,0.7507018303558176,up
f24,11780.0,0.08255974555604104,0.48091836007169564,0.7507018303558176,up
f35,10719.0,-0.07760059762926436,0.48009026935553545,0.7507018303558176,down
f36,11812.0,0.0784629235389481,0.45480886982297486,0.7507018303558176,up
f4,11756.0,0.08481144141589447,0.5010239759462425,0.763465106203798,up
f10,10800.0,-0.09422847309129488,0.5496151366645544,0.7646819292724235,down
f15,11707.0,0.04187741211139086,0.5434164795246509,0.7646819292724235,up
f27,11710.0,0.0826742459508446,0.5407706060018621,0.7646819292724235,up
f30,11712.0,0.023731212063920926,0.539010274648698,0.7646819292724235,up
f53,10854.0,-0.03935719226589654,0.5985709740826314,0.8150753689635831,down
f25,11621.0,0.09901825243723775,0.621886313043863,0.8291817507251507,up
f13,10909.0,-0.0476443563204132,0.6503721739939656,0.8349313677582038,down
f49,10911.0,-0.044073856264714266,0.6522901310610967,0.8349313677582038,down
f63,11524.0,0.039693200449394436,0.7158129037518753,0.8982750164729416,up
f8,11144.0,-0.03194693652943301,0.8883180386704516,0.9220616678999156,down
f14,11063.0,0.0035188290430385877,0.8039384637731501,0.9220616678999156,up
f21,11370.0,0.013197713090841466,0.8736149529591926,0.9220616678999156,up
f23,11408.0,0.006059950340947039,0.8339401713013085,0.9220616678999156,up
f26,11436.0,0.02694024814883257,0.8049684824362289,0.9220616678999156,up
f40,11156.0,-0.0333249833314357,0.9009515390280666,0.9220616678999156,down
f41,11084.0,-0.0306243301642481,0.8256376714065544,0.9220616678999156,down
f47,11176.0,-0.01568965091626842,0.9220616678999156,0.9220616678999156,down
f50,11324.0,0.021085138675627148,0.9220616678999156,0.9220616678999156,up
f52,11336.0,0.014190684914968481,0.909388035745136,0.9220616678999156,up
f54,11117.0,-0.011648746020291582,0.8600009493511238,0.9220616678999156,down
f57,11470.0,0.034503974926317016,0.7701489222201455,0.9220616678999156,up
f61,11486.0,0.012923242764915015,0.7539175542059425,0.9220616678999156,up
