feature,stat_spearman_rho,effect_spearman_rho,p_value,p_adj_bh,direction
f1,-0.664513814083916,-0.664513814083916,7.345435322049261e-34,9.402157212223055e-32,down
f0,-0.6481818759005235,-0.6481818759005235,8.837649454332112e-32,5.656095650772552e-30,down
f3,0.5181791175544713,0.5181791175544713,6.358282482136018e-19,2.7128671923780347e-17,up
f2,0.4605901045058568,0.4605901045058568,8.533030960029001e-15,2.7305699072092804e-13,up
f102,-0.38261444037525927,-0.38261444037525927,2.581355187898208e-10,6.608269281019413e-09,down
f105,0.3668869539668055,0.3668869539668055,1.5227708458634951e-09,3.2485778045087894e-08,up
f113,0.3358997077045366,0.3358997077045366,3.838816108840243e-08,7.019549456165015e-07,up
f108,-0.291393281522433,-0.291393281522433,2.207489250463726e-06,3.0388045665185908e-05,down
f110,-0.29218754782342155,-0.29218754782342155,2.0652511462793497e-06,3.0388045665185908e-05,down
f117,0.29052299155544276,0.29052299155544276,2.374066067592649e-06,3.0388045665185908e-05,up
f120,-0.2770197404037227,-0.2770197404037227,7.11897712252361e-06,8.283900651663837e-05,down
f119,0.2702521860597481,0.2702521860597481,1.2083229156643313e-05,0.000128887777670862,up
f96,-0.254983013752047,-0.254983013752047,3.78784033811464e-05,0.0003729565871374415,down
f101,0.2508654271944153,0.2508654271944153,5.09358399375047e-05,0.00046569910800004296,up
f11,-0.24395885814689475,-0.24395885814689475,8.277941628671151e-05,0.0006622353302936921,down
f106,-0.2445742878240509,-0.2445742878240509,7.931862046792444e-05,0.0006622353302936921,down
f98,0.2394090227454251,0.2394090227454251,0.00011312555311445193,0.0008485469707391783,up
f109,-0.23862272082849387,-0.23862272082849387,0.00011932691776019696,0.0008485469707391783,down
f111,0.23488742470561322,0.23488742470561322,0.00015338720645018868,0.0010333453908223237,up
f56,0.21506045261238527,0.21506045261238527,0.0005443692053706316,0.0034839629143720422,up
f70,-0.2042708843194666,-0.2042708843194666,0.0010359475522381694,0.006314346985070747,down
f7,-0.19517483369109884,-0.19517483369109884,0.0017388582365205805,0.01011699337611974,down
f118,0.1895867322225211,0.1895867322225211,0.002364187416373728,0.013157216925905964,up
f67,-0.17679158721698773,-0.17679158721698773,0.004631529118040007,0.024701488629546704,down
f48,0.17306570354799303,0.17306570354799303,0.005588443693048773,0.028612831708409718,up
f5,0.1700030358604983,0.1700030358604983,0.006503956597266419,0.03201947863269621,up
f116,-0.15909182970197708,-0.15909182970197708,0.010951712106692863,0.05191922776506246,down
f62,0.14587964058580616,0.14587964058580616,0.01977725871861045,0.09041032557079064,up
f38,-0.14501803903778757,-0.14501803903778757,0.02052365630499527,0.09058717265653085,down
f61,-0.1404486546936318,-0.1404486546936318,0.02490358960984122,0.10625531566865587,down
f6,0.13785154145603287,0.13785154145603287,0.02773489600096511,0.11451828026204948,up
f80,-0.13475194798790882,-0.13475194798790882,0.03147112364127721,0.12206981291162068,down
f115,0.13518057665717523,0.13518057665717523,0.030930166053677897,0.12206981291162068,up
f47,0.1312049009427465,0.1312049009427465,0.03626525010231042,0.13652800038516866,up
f63,0.12802566363404935,0.12802566363404935,0.04107468447350408,0.15021598893167207,up
f46,-0.12668909518224902,-0.12668909518224902,0.043251346828110354,0.15378256649994793,down
f95,0.1192843901136892,0.1192843901136892,0.05713747237521943,0.1976647692980564,up
f74,-0.11794999376663183,-0.11794999376663183,0.05999544518826514,0.20208992063415626,down
f42,0.11520952161600125,0.11520952161600125,0.06623489419439398,0.20354855435953084,up
f73,-0.11525368774577362,-0.11525368774577362,0.06613027977636543,0.20354855435953084,down
f79,0.11518128425434349,0.11518128425434349,0.06630184982177695,0.20354855435953084,up
f125,-0.11497638237359621,-0.11497638237359621,0.06678936939922106,0.20354855435953084,down
f100,0.1139410124461453,0.1139410124461453,0.06929787154444046,0.20628203622531113,up
f64,0.11170229649112554,0.11170229649112554,0.07498511734619602,0.213291000451402,up
f75,-0.11181886611232804,-0.11181886611232804,0.07467991235858479,0.213291000451402,down
f4,-0.10971554468628265,-0.10971554468628265,0.08034430901980859,0.22356677292468477,down
f34,0.1089828213530097,0.1089828213530097,0.08239722581969125,0.22440095542384,up
f60,0.10696059183736605,0.10696059183736605,0.08828300761294862,0.23542135363452965,up
f28,-0.10486523479537795,-0.10486523479537795,0.09473227433334698,0.2474639002993554,down
f72,0.10255194324418516,0.10255194324418516,0.10228236961544597,0.2618428662155417,up
f88,0.10050944075094105,0.10050944075094105,0.10933734114313921,0.26405999370418526,up
f99,0.10099382010860868,0.10099382010860868,0.10763060047920671,0.26405999370418526,up
f112,-0.10120885847815615,-0.10120885847815615,0.10687965308850905,0.26405999370418526,down
f97,0.09976875303361078,0.09976875303361078,0.1119882476188603,0.26492198489861835,up
f121,0.09926120455868556,0.09926120455868556,0.11383366538612508,0.26492198489861835,up
f94,0.09455497761572683,0.09455497761572683,0.1320981388901966,0.3019386031775922,up
f32,0.09101951512919336,0.09101951512919336,0.14724427779249902,0.3306538167971908,up
f9,0.08862513166759882,0.08862513166759882,0.15822845746143785,0.34524128884021016,up
f24,-0.08843326241530895,-0.08843326241530895,0.15913465657478437,0.34524128884021016,down
f36,0.0864132050044082,0.0864132050044082,0.16891351087998338,0.3481448953302275,up
f65,0.08609824981668714,0.08609824981668714,0.17047771023074187,0.3481448953302275,up
f103,0.08592303336742621,0.08592303336742621,0.17135256567034635,0.3481448953302275,up
f126,0.0866347596881844,0.0866347596881844,0.16781960772499244,0.3481448953302275,up
f89,0.08496513517580552,0.08496513517580552,0.17619448777864508,0.35238897555729015,up
f58,0.08226955318986161,0.08226955318986161,0.19036306410523857,0.3748688031610852,up
f57,0.07937486160248484,0.07937486160248484,0.2064879856135631,0.3794037278358161,up
f69,0.07920109322305253,0.07920109322305253,0.20748641366021192,0.3794037278358161,up
f104,-0.08013292615775836,-0.08013292615775836,0.20217290180418435,0.3794037278358161,down
f123,0.07925467180671082,0.07925467180671082,0.20717819447723074,0.3794037278358161,up
f127,0.08018433263667374,0.08018433263667374,0.20188266730665033,0.3794037278358161,up
f78,0.07355000071693055,0.07355000071693055,0.2418743474605723,0.4340852984225101,up
f86,-0.07319305150417997,-0.07319305150417997,0.2441729803626619,0.4340852984225101,down
f27,-0.07119399110579397,-0.07119399110579397,0.257327965893505,0.4351126884826447,down
f31,-0.07239154485404839,-0.07239154485404839,0.24938985351522203,0.4351126884826447,down
f90,-0.07104194377379068,-0.07104194377379068,0.2583481587865703,0.4351126884826447,down
f124,0.07186444743643701,0.07186444743643701,0.25286256177035854,0.4351126884826447,up
f66,-0.06971913198536211,-0.06971913198536211,0.26734146265970016,0.44144150016481776,down
f81,-0.06947802835889977,-0.06947802835889977,0.2690034141629358,0.44144150016481776,down
f37,0.06863235557899582,0.06863235557899582,0.2748883786193734,0.44538876535797206,up
f12,-0.06785763822069336,-0.06785763822069336,0.28035572171356493,0.4485691547417039,down
f22,-0.06713215523656343,-0.06713215523656343,0.28554175558585654,0.45122647796283505,down
f16,-0.06277708522704084,-0.06277708522704084,0.31802256151798214,0.4964254618817282,down
f45,0.0606527667884807,0.0606527667884807,0.334706650642812,0.5161741118346981,up
f122,0.05838291733214599,0.05838291733214599,0.3531419154911686,0.5381210140817807,up
f54,-0.057586478926414504,-0.057586478926414504,0.3597588915936486,0.5417545661645532,down
f76,-0.05620140013535604,-0.05620140013535604,0.3714493855205462,0.5528548993794176,down
f39,0.055455644173625654,0.055455644173625654,0.37783970868426137,0.5559021001331661,up
f77,0.05459621473034996,0.05459621473034996,0.3852870330738591,0.5604175026528859,up
f55,-0.05188832415086295,-0.05188832415086295,0.40932892381291075,0.5886977780680065,down
f114,0.048515769520047276,0.048515769520047276,0.4404800837496471,0.6264605635550536,up
f85,-0.047155307916075064,-0.047155307916075064,0.45341885023549544,0.6377759651664112,down
f87,0.04284368000141056,0.04284368000141056,0.49580174970688407,0.6898111300269691,up
f14,-0.040835931184052925,-0.040835931184052925,0.5162319985919872,0.7029542108486634,down
f49,-0.04087937327891101,-0.04087937327891101,0.5157853974326418,0.7029542108486634,down
f19,-0.03997505367094863,-0.03997505367094863,0.5251230773636637,0.7075342516057784,down
f17,-0.039061321609100336,-0.039061321609100336,0.5346445266856625,0.7128593689142168,down
f8,-0.038456028420744415,-0.038456028420744415,0.5409992495432646,0.7131683526924528,down
f82,-0.03798033748204843,-0.03798033748204843,0.5460195200301592,0.7131683526924528,down
f59,-0.034992969425641084,-0.034992969425641084,0.5780618914536458,0.7473931525865319,down
f15,-0.03315464477822997,-0.03315464477822997,0.5982067992918811,0.7600297089408165,down
f107,0.03301852621434132,0.03301852621434132,0.599710942211113,0.7600297089408165,up
f26,-0.032480568273015424,-0.032480568273015424,0.605672089899129,0.7600590932067501,down
f23,-0.029903728013016943,-0.029903728013016943,0.6345842381800162,0.7722049380092019,down
f30,0.029472203204093342,0.029472203204093342,0.6394822142888703,0.7722049380092019,up
f41,0.02986390609273037,0.02986390609273037,0.6350355713711637,0.7722049380092019,up
f51,0.030963715127554112,0.030963715127554112,0.6226206279555422,0.7722049380092019,up
f52,0.027202353747758624,0.027202353747758624,0.6654996905027346,0.7961117792929909,up
f18,-0.026298034139796252,-0.026298034139796252,0.6759800108373952,0.8011614943258017,down
f43,0.02242082717371256,0.02242082717371256,0.7216026797547958,0.8473866331065492,up
f83,0.020761339150133878,0.020761339150133878,0.7414462558373207,0.8550010878124059,up
f93,-0.021226169565115343,-0.021226169565115343,0.7358700654119807,0.8550010878124059,down
f35,-0.019803440958513198,-0.019803440958513198,0.7529797418237055,0.8605482763699491,down
f53,0.015328181153216594,0.015328181153216594,0.8075536711450598,0.9147510611200678,up
f10,-0.014340597530109564,-0.014340597530109564,0.81973361980828,0.920402660837367,down
f44,0.013263233577629164,0.013263233577629164,0.8330702156889312,0.9267571385864246,up
f84,0.012715139147503045,0.012715139147503045,0.8398736568439473,0.9267571385864246,up
f71,-0.011513965224677116,-0.011513965224677116,0.854824684393129,0.9272674542569534,down
f91,-0.011529893992791746,-0.011529893992791746,0.8546260670255086,0.9272674542569534,down
f20,0.009758180557496358,0.009758180557496358,0.8767710523135154,0.928433779600561,up
f21,0.009687225135894827,0.009687225135894827,0.8776600572786553,0.928433779600561,up
f25,-0.010283105870364831,-0.010283105870364831,0.870199101909283,0.928433779600561,down
f40,0.006048949691530575,0.006048949691530575,0.9234250383867865,0.9688393845369563,up
f33,0.004904974526934452,0.004904974526934452,0.9378743410743912,0.9759993142887973,up
f13,0.002472941249796239,0.002472941249796239,0.9686545951637953,0.9940752892301571,up
f29,0.001079898074680454,0.001079898074680454,0.9863090760330465,0.9940752892301571,up
f50,0.0019979743460145577,0.0019979743460145577,0.9746727191636304,0.9940752892301571,up
f92,-0.001373132214972498,-0.001373132214972498,0.9825919838817175,0.9940752892301571,down
f68,-0.0001451690003174194,-0.0001451690003174194,0.9981594624520478,0.9981594624520478,down
