feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
f0,3486.0,-2.3795171245983073e-07,0.7587681146312026,1.0,down
f1,3020.0,-0.00011471278070618051,0.1708225579783691,1.0,down
f2,3637.0,-8.036989907324539e-07,0.2619705904065306,1.0,down
f3,3363.0,-1.679939717189016e-08,0.32471899939405247,1.0,down
f4,3444.5,0.0,1.0,1.0,up
f5,3519.0,5.624645459044904e-06,0.7522184155178335,1.0,up
f6,3444.5,0.0,1.0,1.0,up
f7,3220.0,2.5658995012685383e-06,0.46781278792967707,1.0,up
f8,3273.0,2.069642680699948e-06,0.562938835220571,1.0,up
f9,3403.0,-5.736417580306171e-08,0.3231762510951163,1.0,down
f10,3610.5,2.1715441764983157e-07,0.23384242027151836,1.0,up
f11,3444.5,0.0,1.0,1.0,up
f12,3444.5,0.0,1.0,1.0,up
f13,3245.0,3.6737554796399125e-07,0.3444493329630247,1.0,up
f14,3444.5,0.0,1.0,1.0,up
f15,3444.5,0.0,1.0,1.0,up
f16,3403.0,-4.716670205143381e-08,0.3231762510951163,1.0,down
f17,3444.5,0.0,1.0,1.0,up
f18,3444.5,0.0,1.0,1.0,up
f19,3444.5,0.0,1.0,1.0,up
f20,3403.0,-1.6490344297567225e-08,0.3231762510951163,1.0,down
f21,3444.5,0.0,1.0,1.0,up
f22,3444.5,0.0,1.0,1.0,up
f23,3450.5,6.627780683366694e-07,0.9705995601626327,1.0,up
f24,3444.5,0.0,1.0,1.0,up
f25,3444.5,0.0,1.0,1.0,up
f26,3444.5,0.0,1.0,1.0,up
f27,3444.5,0.0,1.0,1.0,up
f28,3444.5,0.0,1.0,1.0,up
f29,3227.0,-2.389110606205818e-06,0.3743000961645392,1.0,down
f30,3360.0,-1.0495250710638251e-05,0.7658418416447008,1.0,down
f31,3444.5,0.0,1.0,1.0,up
f32,3444.5,0.0,1.0,1.0,up
f33,3444.5,0.0,1.0,1.0,up
f34,3507.0,3.96819271931652e-06,0.8222278339450664,1.0,up
f35,3250.0,4.534462562563032e-06,0.5303330404895461,1.0,up
f36,3494.0,3.437860014165348e-05,0.7992444139037314,1.0,up
f37,3444.5,0.0,1.0,1.0,up
f38,3444.5,0.0,1.0,1.0,up
f39,3444.5,0.0,1.0,1.0,up
f40,3444.5,0.0,1.0,1.0,up
f41,3444.5,0.0,1.0,1.0,up
f42,3403.0,-3.8438971737870966e-08,0.3231762510951163,1.0,down
f43,3182.0,1.7328633672939278e-06,0.1428797289544402,1.0,up
f44,3444.5,0.0,1.0,1.0,up
f45,3444.5,0.0,1.0,1.0,up
f46,3444.5,0.0,1.0,1.0,up
f47,3534.0,-1.5342584951410453e-05,0.7737769079474726,1.0,down
f48,3247.0,2.3460908822192117e-06,0.4903963375338751,1.0,up
f49,3486.0,8.927074019763484e-09,0.3231762510951163,1.0,up
f50,3444.5,0.0,1.0,1.0,up
f51,3220.0,-1.4340443465106909e-07,0.18012454364800112,1.0,down
f52,3615.0,1.8395151429618879e-06,0.33149955837893785,1.0,up
f53,3444.5,0.0,1.0,1.0,up
f54,3487.0,7.114284521064171e-08,0.5566322400648768,1.0,up
f55,3444.5,0.0,1.0,1.0,up
f56,3495.0,3.2738186625892813e-07,0.8503155210352672,1.0,up
f57,3608.5,9.134956018393298e-08,0.04682820646162501,1.0,up
f58,3412.0,2.0886500680213234e-06,0.824435121149234,1.0,up
f59,3107.0,3.5246590545810533e-07,0.1093720826005426,1.0,up
f60,3361.5,-1.3383105397224426e-06,0.15855520076308371,1.0,down
f61,2908.0,-1.2240185132684995e-05,0.05901967663811145,1.0,down
f62,3444.5,0.0,1.0,1.0,up
f63,3321.0,-6.488283043474812e-07,0.08514853990624016,1.0,down
f64,3403.0,-2.110693940376661e-08,0.3231762510951163,1.0,down
f65,3322.0,5.8915542489645654e-05,0.6844472305269862,1.0,up
f66,3629.5,1.1573476995290985e-05,0.5507997441212265,1.0,up
f67,3486.0,5.2448543222026386e-08,0.3231762510951163,1.0,up
f68,3444.5,0.0,1.0,1.0,up
f69,3444.5,0.0,1.0,1.0,up
f70,3444.5,-1.7039223254310437e-07,1.0,1.0,down
f71,2960.0,-5.5711581764450994e-05,0.11801816233046779,1.0,down
f72,3195.0,-4.488543281805035e-06,0.23065615523090355,1.0,down
f73,3374.0,0.0002137221654046731,0.8211430558034111,1.0,up
f74,3388.0,-3.754580805445629e-06,0.8564508965892275,1.0,down
f75,3444.5,0.0,1.0,1.0,up
f76,3444.5,0.0,1.0,1.0,up
f77,3444.5,0.0,1.0,1.0,up
f78,3444.5,0.0,1.0,1.0,up
f79,3444.5,0.0,1.0,1.0,up
f80,3444.5,0.0,1.0,1.0,up
f81,3257.0,-2.925012278909155e-06,0.41637500079550793,1.0,down
f82,3444.5,0.0,1.0,1.0,up
f83,3444.5,0.0,1.0,1.0,up
f84,3444.5,0.0,1.0,1.0,up
f85,3507.0,5.865298458431137e-08,0.7965207665360461,1.0,up
f86,3444.5,0.0,1.0,1.0,up
f87,3444.5,0.0,1.0,1.0,up
f88,3444.5,0.0,1.0,1.0,up
f89,3444.5,0.0,1.0,1.0,up
f90,3444.5,0.0,1.0,1.0,up
f91,3444.5,0.0,1.0,1.0,up
f92,3444.5,0.0,1.0,1.0,up
f93,3444.5,0.0,1.0,1.0,up
f94,3294.0,-6.07467509654676e-06,0.600561238481552,1.0,down
f95,3444.5,0.0,1.0,1.0,up
f96,3444.5,0.0,1.0,1.0,up
f97,3444.5,0.0,1.0,1.0,up
f98,3558.0,1.0051555561283266e-05,0.694892513861125,1.0,up
f99,3577.0,6.394113742897894e-07,0.44058830454181086,1.0,up
f100,4091.0,0.0014013557537761799,0.036947084151162435,1.0,up
f101,3444.5,0.0,1.0,1.0,up
f102,3024.0,-2.3439175076572313e-06,0.02926269619985853,1.0,down
f103,3461.5,-9.193672558029058e-06,0.9575015512503269,1.0,down
f104,3261.0,-5.801742639938224e-06,0.5462686458755346,1.0,down
f105,3444.5,0.0,1.0,1.0,up
f106,3518.5,-1.0582745043316812e-05,0.7363842868557398,1.0,down
f107,3114.0,-2.177031960142692e-05,0.2865160405988537,1.0,down
f108,3444.5,0.0,1.0,1.0,up
f109,3887.0,1.2835359955781576e-05,0.15273368035085122,1.0,up
f110,3444.5,0.0,1.0,1.0,up
f111,3549.0,-9.945112684494762e-06,0.6512707743991772,1.0,down
f112,3444.5,0.0,1.0,1.0,up
f113,3444.5,0.0,1.0,1.0,up
f114,3444.5,0.0,1.0,1.0,up
f115,3572.0,5.967438439081187e-06,0.4775759200405182,1.0,up
f116,3574.0,0.0002315058530706643,0.6769536475920654,1.0,up
f117,3568.0,2.0568630309545444e-07,0.08514853990624016,1.0,up
f118,3444.5,0.0,1.0,1.0,up
f119,3444.5,0.0,1.0,1.0,up
f120,3444.5,0.0,1.0,1.0,up
f121,3444.5,0.0,1.0,1.0,up
f122,3444.5,0.0,1.0,1.0,up
f123,3444.5,0.0,1.0,1.0,up
f124,3444.5,0.0,1.0,1.0,up
f125,3444.5,0.0,1.0,1.0,up
f126,3444.5,0.0,1.0,1.0,up
f127,3444.5,0.0,1.0,1.0,up
f128,3444.5,0.0,1.0,1.0,up
f129,3444.5,0.0,1.0,1.0,up
f130,3486.0,4.2702770561922387e-08,0.566066165466121,1.0,up
f131,3482.5,1.4615761975586653e-06,0.9035922982071207,1.0,up
f132,3444.5,0.0,1.0,1.0,up
f133,3444.5,0.0,1.0,1.0,up
f134,3444.5,0.0,1.0,1.0,up
f135,3444.5,0.0,1.0,1.0,up
f136,3444.5,0.0,1.0,1.0,up
f137,3444.5,0.0,1.0,1.0,up
f138,3444.5,0.0,1.0,1.0,up
f139,3444.5,0.0,1.0,1.0,up
f140,3444.5,0.0,1.0,1.0,up
f141,3444.5,0.0,1.0,1.0,up
f142,3408.0,1.8480625741691496e-06,0.8731984140588824,1.0,up
f143,3444.5,0.0,1.0,1.0,up
f144,3510.0,2.9929927452951277e-06,0.8114971685072465,1.0,up
f145,3128.0,-3.95479567169425e-05,0.30745979085698505,1.0,down
f146,3757.0,1.8992596526815367e-07,0.07470844682290695,1.0,up
f147,3444.5,0.0,1.0,1.0,up
f148,3444.5,0.0,1.0,1.0,up
f149,3329.0,-3.798079355381406e-05,0.6703127728510491,1.0,down
f150,3444.0,-9.31892378525023e-09,1.0,1.0,down
f151,3444.5,0.0,1.0,1.0,up
f152,3444.5,0.0,1.0,1.0,up
f153,3444.5,0.0,1.0,1.0,up
f154,3444.5,0.0,1.0,1.0,up
f155,3444.5,0.0,1.0,1.0,up
f156,3444.5,0.0,1.0,1.0,up
f157,2631.0,-6.523795362073839e-05,0.008644690192765854,1.0,down
f158,3444.5,0.0,1.0,1.0,up
f159,3444.5,0.0,1.0,1.0,up
f160,3403.0,-3.8741318458489267e-07,0.3231762510951163,1.0,down
f161,3444.5,0.0,1.0,1.0,up
f162,3444.5,0.0,1.0,1.0,up
f163,3444.5,0.0,1.0,1.0,up
f164,3630.0,2.682751523003302e-06,0.5229973441850142,1.0,up
f165,3331.0,-6.258943434965977e-06,0.7144209230954607,1.0,down
f166,3444.5,0.0,1.0,1.0,up
f167,3444.5,0.0,1.0,1.0,up
f168,3444.5,0.0,1.0,1.0,up
f169,2888.0,-8.625265741924173e-06,0.0723317000196421,1.0,down
f170,3444.5,0.0,1.0,1.0,up
