feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
f15491,67948.0,2.740390862163622e-05,1.1221122424921346e-13,1.8384686980991133e-09,up
f18382,68146.0,5.285306647419929e-05,6.022557537539391e-14,1.8384686980991133e-09,up
f4661,64459.0,0.00043422756971631316,2.181948002670727e-09,1.97939203021706e-05,up
f4670,64278.0,6.223682146355713e-06,3.0203125461075745e-09,1.97939203021706e-05,up
f9452,64415.0,5.142590071773156e-05,2.4627002788311336e-09,1.97939203021706e-05,up
f25902,43854.0,-3.987614840298193e-06,2.9641184497058938e-08,0.0001618803889332712,down
f10149,59798.0,5.73991218698211e-06,3.5553747664717295e-08,0.0001664321719253509,up
f32137,63189.0,2.7089394516224273e-05,4.5144655134877104e-08,0.00018491250743245662,up
f10937,63072.0,3.073325507830304e-05,5.991084018610489e-08,0.00021812871235758725,up
f10379,62657.0,6.316777521533367e-06,8.460854023098133e-08,0.00027724526462887965,up
f31928,62541.5,2.620555254543433e-05,1.548746568698993e-07,0.00046135752330116913,up
f13838,62240.0,5.408100450767961e-05,4.06550043953954e-07,0.0011101526533569305,up
f15532,62129.0,0.0022383147267319146,5.218548138260525e-07,0.0013153952722655452,up
f2456,62048.0,2.7366256703317052e-05,5.897427578621061e-07,0.0013803350492589638,up
f460,58993.0,4.917313570331317e-06,7.590355364572932e-07,0.0016235190016707574,up
f8270,59814.0,5.450393601677206e-06,8.422797555054589e-07,0.0016235190016707574,up
f18125,58000.0,1.6439028695458547e-06,8.409217236837079e-07,0.0016235190016707574,up
f701,61821.0,8.284318830192205e-05,9.760640036467658e-07,0.0017313611186894296,up
f27384,61821.0,0.0001418848210814758,1.0039020158416492e-06,0.0017313611186894296,up
f21296,61769.0,0.00010008838987960188,1.119503163787651e-06,0.0018341939835496875,up
f20631,61583.5,1.2441341550584183e-05,1.1831904834150913e-06,0.0018462278933593197,up
f21801,61666.0,1.5923063689115224e-05,1.3670848673684414e-06,0.0020362107697240494,up
f14812,61597.5,3.269925480344682e-05,1.5426708388413243e-06,0.002197836436832718,up
f13176,58852.5,5.34154727938585e-06,1.951834723297206e-06,0.0026649050088751185,up
f25021,61453.5,3.491237558773719e-05,2.0796000577494925e-06,0.0027257733876934146,up
f4529,58850.0,6.372843610733981e-06,2.8105389087447805e-06,0.002974513756457385,up
