feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
f22856,1201.0,-0.0006260335633697016,8.822152805468495e-06,0.10669643576880446,down
f29912,1196.0,-0.0002631846088909449,7.934236079216488e-06,0.10669643576880446,down
f30958,1228.0,-1.71928702250377e-05,9.768350442700604e-06,0.10669643576880446,down
f4436,1273.0,-0.0005496392294651631,3.8464848240870294e-05,0.2236260848022828,down
f5378,1296.0,-0.00022521162596107885,6.024832052470604e-05,0.2236260848022828,down
f7316,1288.0,-0.0005477177692779205,5.1603050330271526e-05,0.2236260848022828,down
f12742,1268.0,-0.0005957079737334315,3.484153908564374e-05,0.2236260848022828,down
f13192,1290.0,-4.154015220013786e-05,4.7922863483161776e-05,0.2236260848022828,down
f25443,1297.0,-0.00030871472253321287,6.142073862367387e-05,0.2236260848022828,down
f1245,1328.0,-0.0001906508718865084,0.00011053542406544602,0.3173484657633618,down
f22565,1333.0,-7.85600590681883e-05,0.00012123309223308264,0.3173484657633618,down
f25956,1335.0,-0.00014383266352524515,0.00012590118575816966,0.3173484657633618,down
f32591,1321.0,-0.001083758645549868,9.696741920254004e-05,0.3173484657633618,down
f29296,2997.0,0.0012166882216027288,0.000195227089979775,0.446120897139869,up
f30540,1361.5,-0.00012183198305137921,0.00020421793997491564,0.446120897139869,down
f1574,1380.0,-0.00011255013410074312,0.0002839061646163912,0.48534551286541266,down
f1831,1550.0,-2.1627401744781032e-05,0.0003110429617362569,0.48534551286541266,down
f12356,1374.0,-0.00016065975928954273,0.00025533703366710335,0.48534551286541266,down
f16163,1396.0,-5.452498042800333e-05,0.0002483909606235872,0.48534551286541266,down
f19915,1379.0,-0.00047440073280030805,0.00027896249415298893,0.48534551286541266,down
f31737,1384.0,-0.00013937059063182184,0.0003045139918891098,0.48534551286541266,down
f3217,1391.0,-0.0007412980811557536,0.00034428235377415337,0.5127929167487026,down
f4009,1468.0,-0.00086468238427959,0.00041883316918614477,0.5784934355685543,down
f13553,1403.0,-0.0009937149835891569,0.0004237012467543122,0.5784934355685543,down
