feature	effect_mean_diff	p_value	p_adj_bh	direction
f11280	-0.0006833893726579	2.2741828995219325e-05	0.0100792309254652	down
f4008	-0.0004866958035145	0.0005190735325098	0.0483210270263757	down
f4982	-0.0003908738444442	0.000126735871081	0.0247195299022874	down
f8161	-0.0002689005529973	0.0001055782446398	0.0232590225763387	down
f912	-1.0133459669305011e-05	0.0002775816728476	0.0351422775768721	down
f25902	-3.987614840298193e-06	2.9641184497058938e-08	0.0001618803889332	down
f17890	-2.859319902199786e-06	0.000202886841861	0.030607787691482	down
f20821	-1.0562332045083169e-06	9.638738518681568e-05	0.0222424073084618	down
f26515	1.3420821051113306e-07	2.429617579691123e-05	0.0106151611801758	up
f15741	1.5617869939887896e-07	0.0005215302887264	0.048412194053791	up
f8467	1.792545881471597e-07	0.0001519033030009	0.0261977233301836	up
f21785	1.8739898587227804e-07	0.0004398270470616	0.0448979834209211	up
f18612	2.8159801513538697e-07	0.0002069367541706	0.0308222889121132	up
f21372	3.3549946601851844e-07	0.0005444392882748	0.0494187994409664	up
f13534	5.006928940929356e-07	0.0004592006424884	0.0461451584682243	up
f12490	7.248996989801526e-07	0.0004242739050879	0.0439955927908964	up
f32488	9.208041738020258e-07	0.0001257727413814	0.0247195299022874	up
f17283	9.931697895808612e-07	0.000513132540135	0.0480409345004114	up
f28110	1.00966967693239e-06	2.026923168676485e-05	0.0096184356648676	up
f11516	1.0146220211026957e-06	0.0004783994454834	0.0470756547435522	up
f14927	1.0311220885341754e-06	0.000352391331477	0.0399555679925255	up
f31110	1.0852116683963686e-06	0.0003435529837514	0.0394367538697843	up
f10604	1.1142814328195527e-06	0.000200751879917	0.030607787691482	up
f25250	1.1695882021740549e-06	0.0001375921888317	0.0251878259421188	up
f31643	1.2065220180375037e-06	0.0001361730969346	0.0250680901143433	up
f26330	1.3073258596705272e-06	2.9205076268920015e-05	0.0115041052807996	up
f25604	1.3868249843653755e-06	3.6684755396593376e-06	0.003365466116192	up
f19991	1.5436056737598843e-06	6.48107650122573e-05	0.0187939747603685	up
f9900	1.5507751049881335e-06	0.0001035010121126	0.0232295970199069	up
f20911	1.60202271581511e-06	0.0004967964804926	0.047396430069928	up
f18125	1.643902869545855e-06	8.409217236837079e-07	0.0016235190016707	up
f99	1.6987333037832286e-06	0.0004074309936305	0.0432209039531708	up
f21851	1.7903642528835917e-06	0.0001686305934129	0.0284829241492485	up
f15388	1.836891844504862e-06	8.293538019069981e-05	0.0210610600001163	up
f21116	1.8497625351301392e-06	0.0001412318646736	0.025710476342365	up
f21514	1.8747892827377656e-06	0.000146338480812	0.0259201045364889	up
f32548	2.00295907779946e-06	1.3735150535609124e-05	0.0078960247851024	up
f1578	2.0234407838870538e-06	0.0001447165951097	0.0259201045364889	up
f3695	2.0419026477611623e-06	0.0002999538309753	0.0367347700781929	up
f23113	2.0576045390043873e-06	2.0508877377043635e-05	0.0096184356648676	up
f10874	2.1085338103148386e-06	0.0003443604729351	0.0394367538697843	up
f20787	2.194735519879032e-06	0.0004188198954845	0.0437630046040536	up
f31202	2.208252175478265e-06	9.727954436188424e-05	0.0222913014660854	up
f4611	2.2169152871356345e-06	0.0001948766073397	0.0304081746157501	up
f4887	2.2224853819352575e-06	0.0001853657552913	0.0293433095139492	up
f13914	2.2839031371404416e-06	0.0004951588900977	0.047396430069928	up
f16215	2.32855350986938e-06	0.00015550645236	0.0265397678694543	up
f3455	2.3864295981184115e-06	0.0003434244533833	0.0394367538697843	up
f9602	2.4039992968027947e-06	0.0002661524064077	0.0349273821296831	up
f7363	2.481336352502694e-06	0.0004343028529672	0.0446120247210978	up
f24080	2.4996736010507447e-06	0.0002350451051107	0.033486773931603	up
f8567	2.5218950158887313e-06	3.47908239720975e-05	0.0126669524435298	up
f20174	2.534420435949869e-06	0.0003915272216497	0.0424819999967533	up
f3106	2.550709190472844e-06	0.0002043146011747	0.030607787691482	up
f26978	2.567039970017504e-06	0.0001311744773606	0.0248458108332653	up
f9223	2.6720120267782477e-06	0.0001294877481154	0.0247959617279149	up
f4526	2.8720643640554043e-06	7.957699604074095e-05	0.0206950714782777	up
f20244	2.895214474847307e-06	0.000461690697781	0.0461451584682243	up
f28439	2.9132955241948366e-06	0.0003191051839675	0.0377901625182831	up
f6272	2.9275863926159216e-06	0.0001282155695758	0.0247959617279149	up
f7341	2.9369456424319647e-06	0.0001205689847586	0.0240902712961578	up
f17880	2.963036801702401e-06	0.000316898989756	0.0377901625182831	up
f29551	3.0808369410806336e-06	8.619800303218354e-05	0.0213830339094804	up
f20374	3.0813016383035574e-06	0.0004072719542199	0.0432209039531708	up
f3035	3.114744426056859e-06	5.96286813338685e-05	0.0177628420904382	up
f11501	3.117267158813775e-06	5.549458887982179e-06	0.0042289457870093	up
f26830	3.1225565981003453e-06	3.348915490222607e-05	0.0123300295262488	up
f21465	3.218558671505889e-06	0.0002712932116118	0.0349273821296831	up
f11196	3.242296756070573e-06	0.0004622873670791	0.0461451584682243	up
f6745	3.2889840367715804e-06	4.425531731167751e-06	0.0037183544555616	up
f16429	3.2907777203945445e-06	3.533790262069832e-05	0.0127247515722532	up
f24576	3.3254050831601492e-06	2.025019451878941e-05	0.0096184356648676	up
f27159	3.3337879212922415e-06	5.307325807956958e-05	0.0161028196365864	up
f16606	3.4110098858946004e-06	0.0001780860925253	0.0290130480925556	up
f12382	3.4232256621180567e-06	0.0002864300353778	0.0359606873534887	up
f22869	3.510116221150383e-06	0.0002639737630358	0.0349273821296831	up
f16976	3.5107449111819733e-06	2.969054715241781e-06	0.0029745137564573	up
f16167	3.5145793954143297e-06	0.0005356204349878	0.0489967697163605	up
f11875	3.5757228579313963e-06	8.874794347196494e-05	0.0213830339094804	up
f19980	3.585874175769277e-06	0.0002714268247559	0.0349273821296831	up
f14466	3.6033216274518058e-06	0.0001342649386846	0.0249668001561995	up
f2965	3.681917954963865e-06	0.0001063684902998	0.0232590225763387	up
f5354	3.7320967385312545e-06	0.0002579885893559	0.0347891773498549	up
f7448	3.757802708605595e-06	0.0004713227563162	0.0466595289394879	up
f24095	3.776105822907994e-06	0.0001109370531141	0.023531672063341	up
f23270	3.7811378333572065e-06	0.0004062402512059	0.0432209039531708	up
f14094	3.7975875893607734e-06	0.0004650099276873	0.0461740766983601	up
f16419	3.838360513327643e-06	4.026514588952948e-06	0.0035659683797516	up
f14344	3.932057494239416e-06	8.713606609932535e-05	0.0213830339094804	up
f1212	3.971226804424078e-06	0.0002045625459116	0.030607787691482	up
f4619	3.979058419645298e-06	0.0003707921270691	0.0411868353213649	up
f30235	4.011247545349761e-06	0.0001437752426945	0.0259201045364889	up
f28542	4.037830018205568e-06	0.0002695227400126	0.0349273821296831	up
f52	4.075035962159745e-06	0.0002039730702917	0.030607787691482	up
f10179	4.122466296394123e-06	0.0001479240297444	0.0259207198217472	up
f14920	4.152229201281443e-06	9.152945072045747e-06	0.0056589378135999	up
f21672	4.202530115435366e-06	0.0005106257136294	0.0479867973371539	up
f28213	4.372584488010034e-06	2.5456570455904133e-06	0.0029745137564573	up
f14204	4.380584439786617e-06	0.0002195445993649	0.0319734996977409	up
f22712	4.432046083820751e-06	4.233278596911372e-05	0.014438907511872	up
f32551	4.44863053780864e-06	0.0001329688829984	0.0249668001561995	up
f1954	4.466864833375439e-06	0.0004075701697244	0.0432209039531708	up
f16013	4.498146236073808e-06	3.745349531347778e-05	0.0133399579829569	up
f29394	4.510219539952231e-06	3.9833303126934106e-05	0.0138857199666316	up
