feature	effect_mean_diff	p_value	p_adj_bh	direction
f11280	-0.0006833893726579	2.2741828995219325e-05	0.0100792309254652	down
f4008	-0.0004866958035145	0.0005190735325098	0.0483210270263757	down
f29600	0.0005381897379847	6.077673734446814e-06	0.0044256269540078	up
f4068	0.0005415149405598	0.0002884799071215	0.0360798076204551	up
f31044	0.0007158523362013	0.000238546474061	0.0336600021310864	up
f28078	0.0007501586900907	0.0001528594665506	0.0262246020938753	up
f15532	0.0022383147267319	5.218548138260525e-07	0.0013153952722655	up
f5814	0.0026932552233338	2.7654699682347013e-06	0.0029745137564573	up
f17323	0.003337129574269	0.0001196783892558	0.0240902712961578	up
f26395	0.0039090394452214	0.0005010267058659	0.0475231695745494	up
