feature	effect_mean_diff	std_effect	p_value	p_adj_bh	direction
f15491	2.740390862163622e-05	0.7178012599546303	1.1221122424921347e-13	1.838468698099113e-09	up
f18382	5.285306647419929e-05	0.7612566584650374	6.022557537539392e-14	1.838468698099113e-09	up
f4661	0.0004342275697163	0.4322003363131777	2.1819480026707272e-09	1.97939203021706e-05	up
f4670	6.223682146355713e-06	0.3823252242914369	3.020312546107574e-09	1.97939203021706e-05	up
f9452	5.142590071773156e-05	0.0331562090448179	2.462700278831133e-09	1.97939203021706e-05	up
f25902	-3.987614840298193e-06	-0.3869310828134948	2.9641184497058938e-08	0.0001618803889332	down
f10149	5.73991218698211e-06	0.4171427625413279	3.5553747664717295e-08	0.0001664321719253	up
f32137	2.7089394516224273e-05	0.3537145275248182	4.5144655134877104e-08	0.0001849125074324	up
f10937	3.073325507830304e-05	0.3377206131520233	5.991084018610489e-08	0.0002181287123575	up
f10379	6.316777521533367e-06	0.3746416217329424	8.460854023098133e-08	0.0002772452646288	up
f31928	2.620555254543433e-05	0.2713517463439918	1.548746568698993e-07	0.0004613575233011	up
f13838	5.408100450767961e-05	0.2852836282825998	4.06550043953954e-07	0.0011101526533569	up
f15532	0.0022383147267319	0.2708993522923136	5.218548138260525e-07	0.0013153952722655	up
f2456	2.7366256703317052e-05	0.281180898193033	5.897427578621061e-07	0.0013803350492589	up
f8270	5.450393601677206e-06	0.4012306295863486	8.422797555054589e-07	0.0016235190016707	up
f18125	1.643902869545855e-06	0.1879590316536712	8.409217236837079e-07	0.0016235190016707	up
f460	4.917313570331317e-06	0.3195329453607731	7.590355364572932e-07	0.0016235190016707	up
f701	8.284318830192205e-05	0.228837794749341	9.760640036467658e-07	0.0017313611186894	up
f27384	0.0001418848210814	0.3283779749617515	1.0039020158416492e-06	0.0017313611186894	up
f21296	0.0001000883898796	0.3534642913189618	1.119503163787651e-06	0.0018341939835496	up
f20631	1.2441341550584183e-05	0.2049720416290973	1.1831904834150913e-06	0.0018462278933593	up
f21801	1.5923063689115224e-05	0.2469601187883348	1.3670848673684414e-06	0.002036210769724	up
f14812	3.269925480344682e-05	0.3560187658674553	1.5426708388413243e-06	0.0021978364368327	up
f13176	5.34154727938585e-06	0.2855919510433711	1.951834723297206e-06	0.0026649050088751	up
f25021	3.491237558773719e-05	0.3189656819134885	2.0796000577494925e-06	0.0027257733876934	up
f20548	0.0003142177768058	0.3880048469344084	2.8968964477842916e-06	0.0029745137564573	up
f16976	3.5107449111819733e-06	0.4299984137439002	2.969054715241781e-06	0.0029745137564573	up
f12146	2.7407589985159577e-05	0.2302763191621207	2.60891189847465e-06	0.0029745137564573	up
f28213	4.372584488010034e-06	0.3018863696595194	2.5456570455904133e-06	0.0029745137564573	up
f6730	1.94651283291023e-05	0.099047098709414	2.99557354623699e-06	0.0029745137564573	up
f5814	0.0026932552233338	0.3517807723262995	2.7654699682347013e-06	0.0029745137564573	up
f4529	6.372843610733981e-06	0.4141329688171331	2.8105389087447805e-06	0.0029745137564573	up
f8547	2.942470738889824e-05	0.3301548456586832	2.7966871703159247e-06	0.0029745137564573	up
f25604	1.3868249843653755e-06	0.3074719581505107	3.6684755396593376e-06	0.003365466116192	up
f2291	3.769538821234164e-05	0.2774773474049102	3.6881935488914217e-06	0.003365466116192	up
f10029	7.0833007957844525e-06	0.2748288053791033	3.697411504605524e-06	0.003365466116192	up
f16419	3.838360513327643e-06	0.3250577399475921	4.026514588952948e-06	0.0035659683797516	up
f13830	5.215480283368379e-06	0.3520381626694455	4.151493401477841e-06	0.0035798983099901	up
f6745	3.2889840367715804e-06	0.220366337255605	4.425531731167751e-06	0.0037183544555616	up
f31908	5.229869046161184e-06	0.350728097080653	4.560896697351613e-06	0.0037362865744704	up
f5270	5.991855226966437e-06	0.0941868010715896	5.118128689177495e-06	0.0040905083143162	up
f11501	3.117267158813775e-06	0.3393718977020324	5.549458887982179e-06	0.0042289457870093	up
f26774	1.3378312802160508e-05	0.1804189412261487	5.490980451714056e-06	0.0042289457870093	up
f25630	5.415097795776091e-06	0.2863574286572642	5.978929370127073e-06	0.0044256269540078	up
f29600	0.0005381897379847	0.3501532689458238	6.077673734446814e-06	0.0044256269540078	up
f8746	3.4505435576647866e-05	0.0715457397291888	6.925121759844665e-06	0.0047783858694756	up
f9627	2.6227937827570713e-05	0.2737378205145418	6.976427540265496e-06	0.0047783858694756	up
f26170	5.604275473160669e-06	0.3278983152940167	7.145413440072854e-06	0.0047783858694756	up
f29745	8.720126854314004e-06	0.2667575595532235	7.046522574344537e-06	0.0047783858694756	up
f26189	0.0004480991693171	0.3759392195870302	7.932927418520985e-06	0.0051989233130019	up
f17950	2.1842473026481458e-05	0.2619444218002836	8.25557838395377e-06	0.0053042900487332	up
f14666	9.90960971921595e-06	0.311071674636494	8.882986375455964e-06	0.0055976480298257	up
f14920	4.152229201281443e-06	0.3712156434259971	9.152945072045747e-06	0.0056589378135999	up
f12124	7.91534862946719e-06	0.2735303191946447	9.739110111682784e-06	0.0059098362988818	up
f14078	5.59955254830129e-05	0.3065324930414548	1.1720357219319178e-05	0.0069827757338663	up
f692	1.0397393645689593e-05	0.268425548717452	1.3491500641946836e-05	0.0078944552327734	up
f32548	2.00295907779946e-06	0.2060590679207068	1.3735150535609124e-05	0.0078960247851024	up
f6348	0.0001764131166237	0.3418687442218686	1.4398520667474572e-05	0.0081346676764104	up
f3093	6.178666437335778e-06	0.354620106780375	1.5238726066313796e-05	0.008463433487135	up
f780	5.102438180074387e-06	0.1859347333096602	1.5749552259507376e-05	0.0086013554739922	up
f18827	1.2386984562908764e-05	0.3180419225688042	1.6610793765768272e-05	0.0089229916412572	up
f8973	7.881010958953993e-06	0.3500774872957691	1.7714859265652927e-05	0.0093625888454341	up
f16406	7.060143677335872e-06	0.2784466909822398	1.823438983211725e-05	0.0094838003142294	up
f32216	2.778274927914026e-05	0.2767878105447624	1.8523047488729375e-05	0.0094838003142294	up
f26626	2.362500118033495e-05	0.2275061002769157	2.0547195329001964e-05	0.0096184356648676	up
f28110	1.00966967693239e-06	0.0854137996262268	2.026923168676485e-05	0.0096184356648676	up
f24576	3.3254050831601492e-06	0.3350916522099524	2.025019451878941e-05	0.0096184356648676	up
f23113	2.0576045390043873e-06	0.12424233519241	2.0508877377043635e-05	0.0096184356648676	up
f6531	5.1419143683233416e-06	0.2809163094943578	1.999313502280381e-05	0.0096184356648676	up
f3297	6.919054041645722e-06	0.3363644792894151	1.946157022470848e-05	0.0096184356648676	up
f25100	4.669689853471936e-06	0.1231277150503179	2.171270157306646e-05	0.0098816917381422	up
f30042	1.6265350825051428e-05	0.2066534312460689	2.1592361472348828e-05	0.0098816917381422	up
f11280	-0.0006833893726579	-0.3997813853849828	2.2741828995219325e-05	0.0100792309254652	down
f17664	1.6429208779300097e-05	0.3225153752574167	2.2761935073377416e-05	0.0100792309254652	up
f26515	1.3420821051113306e-07	0.0143207811352095	2.429617579691123e-05	0.0106151611801758	up
f28341	1.0776414035717608e-05	0.1789369095977956	2.8380974389252172e-05	0.0115041052807996	up
f27274	2.0649985268391903e-05	0.2301429269764517	2.904639274942469e-05	0.0115041052807996	up
f26898	0.0004091922371881	0.3308658252870287	2.9276747789071464e-05	0.0115041052807996	up
f26330	1.3073258596705272e-06	0.1395693398807434	2.9205076268920015e-05	0.0115041052807996	up
f29711	8.841128117182962e-06	0.1902652114337339	2.930651814931268e-05	0.0115041052807996	up
f14764	1.5152821059018604e-05	0.300784511631305	2.926715648956009e-05	0.0115041052807996	up
f6549	0.0003733863404704	0.3412706091399917	2.949050425986233e-05	0.0115041052807996	up
f3717	5.113350052852184e-06	0.3368122778475451	2.679161662371886e-05	0.0115041052807996	up
f16290	7.304633967032714e-05	0.2903855669650464	2.8591988187326643e-05	0.0115041052807996	up
f6196	9.29977414489258e-06	0.2443871631088844	3.0088164301557935e-05	0.011572844101853	up
f8414	4.611949778336566e-06	0.2866774203380187	3.037306496458014e-05	0.011572844101853	up
f15134	2.5305189897153465e-05	0.2707873247297642	3.07383554680792e-05	0.0115774072641151	up
f20170	2.9340207282075426e-05	0.235662838371002	3.1643684885006606e-05	0.011782957571726	up
f26830	3.1225565981003453e-06	0.2030968025431721	3.348915490222607e-05	0.0123300295262488	up
f8567	2.5218950158887313e-06	0.1328219851999598	3.47908239720975e-05	0.0126669524435298	up
f16429	3.2907777203945445e-06	0.1988816692419962	3.533790262069832e-05	0.0127247515722532	up
f16013	4.498146236073808e-06	0.3810948856846146	3.745349531347778e-05	0.0133399579829569	up
f16787	1.3420953393506353e-05	0.1830838933747813	3.8017685392879745e-05	0.0133953066124073	up
f29394	4.510219539952231e-06	0.2554850643246267	3.9833303126934106e-05	0.0138857199666316	up
f22712	4.432046083820751e-06	0.2449965753790624	4.233278596911372e-05	0.014438907511872	up
f27549	0.0001834064318827	0.2442190388097609	4.2742127339220845e-05	0.014438907511872	up
f27838	1.5216556098494035e-05	0.3131460204308274	4.201643166058067e-05	0.014438907511872	up
f3925	2.8584522237906636e-05	0.1847638854379786	4.4741557269293405e-05	0.0148316840138812	up
f18962	6.938976042874856e-06	0.12916286573524	4.481008048627466e-05	0.0148316840138812	up
f17356	6.20593716048461e-05	0.305436898631368	4.572179303553265e-05	0.0149821171418833	up
f20833	2.8613877209863855e-05	0.2332103612892137	4.708667977941159e-05	0.0152765972575421	up
f3269	1.8205487072918913e-05	0.3501404482863267	4.844676128936521e-05	0.015377917435202	up
f9178	2.578130034271453e-05	0.2709354465682912	4.965880060268496e-05	0.015377917435202	up
f10609	0.0001464290605454	0.2911993747636279	4.966493972920772e-05	0.015377917435202	up
f18370	4.8437333502079127e-05	0.2540632353634816	4.974546045322935e-05	0.015377917435202	up
f19888	3.779332292106119e-05	0.2809516295988258	4.889525511633801e-05	0.015377917435202	up
f23785	0.0001451150208922	0.2742404157763801	5.1049393027224805e-05	0.0156335187917392	up
f27159	3.3337879212922415e-06	0.2349351667913565	5.307325807956958e-05	0.0161028196365864	up
f7528	0.0002127298589384	0.2826285672412081	5.654990697214585e-05	0.0170002509326905	up
f3035	3.114744426056859e-06	0.3291060243664364	5.96286813338685e-05	0.0177628420904382	up
f968	5.137536438269308e-06	0.2193252314133355	6.149491924263192e-05	0.0181537433670501	up
f31082	3.942333175473323e-05	0.3865176590497347	6.334606598925441e-05	0.0185332490208561	up
f19991	1.5436056737598843e-06	0.1989359115381737	6.48107650122573e-05	0.0187939747603685	up
f2854	2.5056229871552205e-05	0.0882982677778266	6.619804337044702e-05	0.0188980618191322	up
f29590	5.893965604627738e-06	0.2634877619600201	6.632315396729162e-05	0.0188980618191322	up
f20681	6.847026361356256e-06	0.0500356784764883	6.778433795966076e-05	0.0191479067781221	up
f6101	0.0003731357590295	0.3037426708264624	7.184859838773415e-05	0.0201225202732416	up
f22698	1.765597936537233e-05	0.3522992494077137	7.255797898858264e-05	0.0201489818262531	up
f11069	1.5585514291160508e-05	0.2110808001478936	7.409126744310449e-05	0.020231855429797	up
f32701	4.990449720935431e-06	0.1442879011587065	7.39205465827926e-05	0.020231855429797	up
f26313	1.7389100004947976e-05	0.1345839193904792	7.555639630314108e-05	0.0204614214385233	up
f8949	2.2630995096733386e-05	0.1927259968416274	7.839919957843171e-05	0.0206847172076833	up
f25470	5.177703365006891e-06	0.2551260272295704	7.747099012629516e-05	0.0206847172076833	up
f26621	9.907377625495429e-06	0.1889742463442449	7.89059341723761e-05	0.0206847172076833	up
f28820	5.4544825148695965e-05	0.1928336716490229	7.78667581896824e-05	0.0206847172076833	up
f4526	2.8720643640554043e-06	0.413324771128477	7.957699604074095e-05	0.0206950714782777	up
f5745	1.2174180024885572e-05	0.1973263552802841	8.355523071335213e-05	0.0210610600001163	up
f10519	4.6502379540470426e-05	0.3357649575113098	8.243260907452146e-05	0.0210610600001163	up
f15063	7.068961502227466e-06	0.127212138242118	8.239844941810221e-05	0.0210610600001163	up
f15388	1.836891844504862e-06	0.2707352809045584	8.293538019069981e-05	0.0210610600001163	up
f29551	3.0808369410806336e-06	0.3365343263569287	8.619800303218354e-05	0.0213830339094804	up
f21180	0.0001316431459163	0.1935244017665396	8.823228308449968e-05	0.0213830339094804	up
f16238	1.718966703992919e-05	0.3073029130053582	8.857153984056097e-05	0.0213830339094804	up
f14344	3.932057494239416e-06	0.2845387957583571	8.713606609932535e-05	0.0213830339094804	up
f11875	3.5757228579313963e-06	0.2398886238219828	8.874794347196494e-05	0.0213830339094804	up
f768	0.0001396492104213	0.2230764669197853	8.739661997105556e-05	0.0213830339094804	up
f27013	1.542513112508459e-05	0.092813064224001	9.130438359966972e-05	0.0218384090641896	up
f2696	0.0001590495345953	0.3169161525576057	9.226138620391644e-05	0.021907399298043	up
f9058	8.405592352573877e-06	0.1757868725601156	9.500236950407385e-05	0.0221496038105483	up
f10386	7.825398583008792e-05	0.201258190601216	9.530926932639504e-05	0.0221496038105483	up
f19537	2.870889446057845e-05	0.2922480626112671	9.458340647701567e-05	0.0221496038105483	up
f20821	-1.0562332045083169e-06	-0.0349004947078606	9.638738518681568e-05	0.0222424073084618	down
f31202	2.208252175478265e-06	0.4650855527950293	9.727954436188424e-05	0.0222913014660854	up
f31302	1.2509579664765623e-05	0.2174193330430212	9.926517789993268e-05	0.0225883427043402	up
f23694	7.553950425062794e-06	0.1237694610282121	0.0001016019221799	0.0229606330068491	up
f9900	1.5507751049881335e-06	0.0818502770097483	0.0001035010121126	0.0232295970199069	up
f8161	-0.0002689005529973	-0.3734446025572573	0.0001055782446398	0.0232590225763387	down
f24959	6.434028872808995e-05	0.1910847907254666	0.0001064713557876	0.0232590225763387	up
f2965	3.681917954963865e-06	0.3771013630625617	0.0001063684902998	0.0232590225763387	up
f4873	0.0003644463822711	0.2496936830191727	0.0001050410834036	0.0232590225763387	up
f1325	1.4708687454003666e-05	0.1416828754251737	0.0001102936614736	0.023531672063341	up
f15011	5.071496299024148e-06	0.1681457614911919	0.000109607061829	0.023531672063341	up
f23301	0.0002434325460708	0.187634114418075	0.0001099612736116	0.023531672063341	up
f24095	3.776105822907994e-06	0.2983154349584775	0.0001109370531141	0.023531672063341	up
f24375	6.01690817711642e-06	0.4566401133445507	0.0001113100942937	0.023531672063341	up
f11833	0.000115071811655	0.2401257918343814	0.0001120397012643	0.0235340828912141	up
f20844	5.089800564019243e-05	0.2309421247505425	0.0001133815694994	0.023664250123306	up
f28612	2.6849228592254805e-05	0.1660128830325314	0.0001141283386867	0.023669350646118	up
f10251	7.785047626384767e-06	0.1959544345575213	0.0001168623599667	0.0240186529828851	up
f11459	7.125805563191534e-06	0.4179784075925677	0.0001172785790179	0.0240186529828851	up
f7341	2.9369456424319647e-06	0.1988547252924811	0.0001205689847586	0.0240902712961578	up
f17323	0.003337129574269	0.3002823236801256	0.0001196783892558	0.0240902712961578	up
f29235	8.772844576014904e-06	0.2441959683403149	0.0001204272540429	0.0240902712961578	up
