feature	std_effect	effect_mean_diff	p_value	p_adj_bh	direction
f8547	0.33015484565868325	2.942470738889824e-05	2.7966871703159247e-06	0.0029745137564573	up
f25604	0.3074719581505107	1.3868249843653755e-06	3.6684755396593376e-06	0.003365466116192	up
f2291	0.2774773474049102	3.769538821234164e-05	3.6881935488914217e-06	0.003365466116192	up
f10029	0.2748288053791033	7.0833007957844525e-06	3.697411504605524e-06	0.003365466116192	up
f16419	0.3250577399475921	3.838360513327643e-06	4.026514588952948e-06	0.0035659683797516	up
f13830	0.3520381626694455	5.215480283368379e-06	4.151493401477841e-06	0.0035798983099901	up
f6745	0.22036633725560503	3.2889840367715804e-06	4.425531731167751e-06	0.0037183544555616	up
f31908	0.35072809708065306	5.229869046161184e-06	4.560896697351613e-06	0.0037362865744704	up
f5270	0.09418680107158962	5.991855226966437e-06	5.118128689177495e-06	0.0040905083143162	up
f11501	0.33937189770203247	3.117267158813775e-06	5.549458887982179e-06	0.0042289457870093	up
f26774	0.18041894122614877	1.3378312802160508e-05	5.490980451714056e-06	0.0042289457870093	up
f25630	0.28635742865726427	5.415097795776091e-06	5.978929370127073e-06	0.0044256269540078	up
f29600	0.3501532689458238	0.0005381897379847	6.077673734446814e-06	0.0044256269540078	up
f8746	0.07154573972918883	3.4505435576647866e-05	6.925121759844665e-06	0.0047783858694756	up
f9627	0.2737378205145418	2.6227937827570713e-05	6.976427540265496e-06	0.0047783858694756	up
f26170	0.3278983152940167	5.604275473160669e-06	7.145413440072854e-06	0.0047783858694756	up
f29745	0.26675755955322356	8.720126854314004e-06	7.046522574344537e-06	0.0047783858694756	up
f26189	0.3759392195870302	0.0004480991693171	7.932927418520985e-06	0.0051989233130019	up
f17950	0.2619444218002836	2.1842473026481458e-05	8.25557838395377e-06	0.0053042900487332	up
f14666	0.31107167463649404	9.90960971921595e-06	8.882986375455964e-06	0.0055976480298257	up
f14920	0.37121564342599717	4.152229201281443e-06	9.152945072045747e-06	0.0056589378135999	up
f12124	0.27353031919464477	7.91534862946719e-06	9.739110111682784e-06	0.0059098362988818	up
f14078	0.30653249304145486	5.59955254830129e-05	1.1720357219319178e-05	0.0069827757338663	up
f692	0.26842554871745206	1.0397393645689593e-05	1.3491500641946836e-05	0.0078944552327734	up
f32548	0.20605906792070683	2.00295907779946e-06	1.3735150535609124e-05	0.0078960247851024	up
f6348	0.34186874422186864	0.0001764131166237	1.4398520667474572e-05	0.0081346676764104	up
f3093	0.354620106780375	6.178666437335778e-06	1.5238726066313796e-05	0.008463433487135	up
f780	0.18593473330966026	5.102438180074387e-06	1.5749552259507376e-05	0.0086013554739922	up
f18827	0.31804192256880426	1.2386984562908764e-05	1.6610793765768272e-05	0.0089229916412572	up
f8973	0.35007748729576915	7.881010958953993e-06	1.7714859265652927e-05	0.0093625888454341	up
f16406	0.2784466909822398	7.060143677335872e-06	1.823438983211725e-05	0.0094838003142294	up
f32216	0.2767878105447624	2.778274927914026e-05	1.8523047488729375e-05	0.0094838003142294	up
f26626	0.22750610027691573	2.362500118033495e-05	2.0547195329001964e-05	0.0096184356648676	up
f28110	0.08541379962622683	1.00966967693239e-06	2.026923168676485e-05	0.0096184356648676	up
f24576	0.33509165220995246	3.3254050831601492e-06	2.025019451878941e-05	0.0096184356648676	up
f23113	0.12424233519241003	2.0576045390043873e-06	2.0508877377043635e-05	0.0096184356648676	up
