feature	feature_idx	inv_vs_indel_mean_diff_raw	inv_vs_indel_cohen_d	p	q
f14602	14602	-0.00012766964711253032	-0.5604157802922474	4.9057585078547306e-24	2.8705695497389967e-21
f22390	22390	-0.00011696542958556424	-0.5601541862007998	5.285511671167697e-24	3.0385201129968966e-21
f18888	18888	0.00022892237944428676	0.5594271212494499	5.7962700288987624e-24	3.2746926949474937e-21
f548	548	-0.00016496439037187624	-0.559030030147266	6.289566101065625e-24	3.4931610508426844e-21
f13869	13869	-0.00018586130258232256	-0.5582542216609806	7.16925188783962e-24	3.915367431012145e-21
f17196	17196	0.00014794489676985125	0.5572429633969503	8.483857755551117e-24	4.504097899288023e-21
f16113	16113	-0.0001340417307957458	-0.5570435912698439	8.52215789049858e-24	4.504097899288023e-21
f19520	19520	3.9494286702392856e-05	0.5571193245448491	8.900651469854404e-24	4.557133552565455e-21
f9547	9547	-0.00013482446809835632	-0.5571850778522914	8.776409147082596e-24	4.557133552565455e-21
f7518	7518	0.00017984049916516858	0.5567010606464302	9.543064366461345e-24	4.67156987318292e-21
f2081	2081	-4.415289602418072e-05	-0.5561934740527931	9.390309725427077e-24	4.67156987318292e-21
f28746	28746	-0.00018385300035203856	-0.5566877673169975	9.551854904274158e-24	4.67156987318292e-21
f30412	30412	-0.00013988018613807592	-0.5555333560884969	1.098423167453425e-23	5.2931074045755634e-21
f22643	22643	0.00016955662537969016	0.5548110329549213	1.2972760537213983e-23	6.1607451780206926e-21
f21229	21229	-8.46802356526106e-05	-0.5543874474845599	1.408491685822272e-23	6.593350794432029e-21
f1249	1249	-0.00024067750806352705	-0.5538907034478222	1.506441415873392e-23	6.952545396526663e-21
f2346	2346	-5.4734699156792236e-05	-0.5517451250967661	1.780207235229284e-23	8.101920928332386e-21
f21709	21709	-0.0001605581145694097	-0.5525082008498176	1.961522293128751e-23	8.80481678099218e-21
f13576	13576	0.00015211188302990714	0.5513226775145428	2.2744125097975657e-23	1.0071344475817112e-20
f4712	4712	-0.00015257979212557465	-0.5505196379144706	2.6869361588077307e-23	1.173940320690823e-20
f28720	28720	-0.00015022447395105182	-0.54918496492055	3.224448269607676e-23	1.3374521632722067e-20
f20571	20571	-9.125952998147113e-05	-0.5492858698860311	3.114974879806048e-23	1.3374521632722067e-20
f4727	4727	-0.00013106188154779374	-0.5495300920295703	3.144619288259422e-23	1.3374521632722067e-20
f28480	28480	-0.0001299619274349035	-0.5495995636127688	3.208783546855649e-23	1.3374521632722067e-20
f26904	26904	-0.00011213324385607848	-0.5490930191269179	3.285179786299533e-23	1.3456096404682885e-20
f31867	31867	-0.00015967298691456174	-0.5490487366178658	3.4362068483748445e-23	1.3900941482413198e-20
f14698	14698	-0.00011089636310186635	-0.5484733621840227	3.688272228561505e-23	1.4738695656768706e-20
f10467	10467	-0.00015543564577715838	-0.5472439464160047	4.4523541604924476e-23	1.757767965433934e-20
f21517	21517	0.00010835892727170306	0.545982232882967	5.496133650970297e-23	2.144015565178508e-20
f3473	3473	0.0001461499729651093	0.5442240410001871	7.455125753683203e-23	2.8739948317257786e-20
f17260	17260	0.00019200582173652946	0.5436493686620718	8.255861910524816e-23	3.145675384698572e-20
f21307	21307	-6.972666947798904e-05	-0.5425554849277429	8.968675384682065e-23	3.377994885117953e-20
f12543	12543	0.00015271790121395106	0.5430350407806387	9.436853943115378e-23	3.5139412500909626e-20
f14683	14683	0.0001438388306113276	0.5425223526726145	9.913578749228595e-23	3.649979196120479e-20
f18602	18602	-8.04141588949798e-05	-0.5424935863936067	1.0760190659931895e-22	3.9176658616072036e-20
f26471	26471	0.00013953347223702754	0.541707047671396	1.1557751570298064e-22	4.1165696027774666e-20
f15538	15538	-0.00014637143140134868	-0.5420052184110173	1.1457288411581565e-22	4.1165696027774666e-20
f9920	9920	-0.00021873592993090695	-0.5416504288603923	1.2022337341482768e-22	4.235999462426961e-20
f9812	9812	-0.0001813139063960989	-0.5402171811459359	1.4518649978105256e-22	5.061139600878224e-20
f19484	19484	0.0001294671371890997	0.5403685376168732	1.4690697198397594e-22	5.067208061022025e-20
f29690	29690	3.367013518852348e-05	0.5401826722790353	1.5533390992496236e-22	5.265890541228102e-20
f32505	32505	-0.00016299860310807292	-0.5389626555410555	1.5588115920993832e-22	5.265890541228102e-20
f22513	22513	-0.00020656554786650563	-0.5397259528782067	1.6435059702504017e-22	5.49534730950665e-20
f8954	8954	-0.00014525663013046142	-0.5394841884780814	1.738510343839834e-22	5.754293631004412e-20
f14304	14304	0.00015952064604529627	0.5390228629356113	1.7920800194067409e-22	5.872287807592009e-20
f1131	1131	-0.00010559137559799379	-0.5382260407528384	2.010297822105865e-22	6.522122676709404e-20
f5574	5574	-0.0001562914225879857	-0.5377740212176784	2.1593100982977755e-22	6.936889539315834e-20
f25338	25338	0.00013657285998695964	0.537482667474091	2.2551380953530733e-22	7.174404379468884e-20
f1069	1069	3.940015433597312e-05	0.5371824831797709	2.3641481850051677e-22	7.448885358293206e-20
f19328	19328	-0.00016769639340054708	-0.5373344531258443	2.5232778895005864e-22	7.874549512681449e-20
f22907	22907	-0.00014758188554489087	-0.5364023301985004	2.7218399112790623e-22	8.414080208753992e-20
f20255	20255	-0.00015345295540360635	-0.5365392402336437	2.876300614457303e-22	8.808469021919337e-20
f6819	6819	-0.00010216627380162079	-0.5361194179159843	3.010501486964543e-22	9.134084511560569e-20
f11647	11647	0.00016745926745248394	0.5357256876869337	3.2246636119183872e-22	9.694108003242359e-20
f10756	10756	0.00018644850156436274	0.5354138910272538	3.365843920592437e-22	1.0026543053633908e-19
f32640	32640	0.00016098817869663305	0.535377661949	3.4249887616122893e-22	1.0110813670316351e-19
f17615	17615	-0.00018304775791485944	-0.5349996035641841	3.6621906160494834e-22	1.0714523402384774e-19
f18590	18590	-0.00015476796853493267	-0.5344599535066313	3.8451116803761623e-22	1.1150143322350982e-19
f5285	5285	-0.0001425122744019193	-0.5344428124484888	3.880777365186988e-22	1.115485199144274e-19
f24205	24205	0.00010662739819963462	0.5344494087380367	3.9262290534400302e-22	1.1187362923749819e-19
f10603	10603	0.00026829827531141097	0.5336233409609299	4.567320473114923e-22	1.2854315238913687e-19
f14620	14620	-9.464576035887669e-05	-0.5332664201789648	4.58970606369904e-22	1.2854315238913687e-19
f9615	9615	0.00018568487037555313	0.5331317313928843	4.8981777051275015e-22	1.3601990427255761e-19
f18419	18419	-0.00015991775508674826	-0.5332602768468819	5.015895559724883e-22	1.3811837453871007e-19
f17994	17994	0.00017095951830145038	0.5328404798056088	5.078979807432837e-22	1.3869000860829932e-19
f5094	5094	0.00019917940676740338	0.5316557036603637	6.236667467499304e-22	1.688951401446423e-19
f3246	3246	0.0003291296149810867	0.5311725224322784	6.510820719797335e-22	1.7487424044780252e-19
f21784	21784	-0.0001301718050204467	-0.5301664023433968	7.432269424043616e-22	1.9800049145289528e-19
f32348	32348	-0.00012124106609657507	-0.530665894535283	7.585670778744252e-22	2.0045746780475132e-19
f28243	28243	-9.094428296521074e-05	-0.5304001703482369	7.899789320069248e-22	2.070882371520233e-19
f4475	4475	-5.257415232855627e-05	-0.5283833729179984	8.390495976771348e-22	2.1820616838638376e-19
f19925	19925	0.00012162643407853985	0.5297764414467648	8.569774117650131e-22	2.2111366794264526e-19
f6313	6313	0.00011311263075185706	0.5283675133120173	1.0691074793475071e-21	2.7369151471296183e-19
f18924	18924	0.0002076746957287209	0.5282850763758278	1.0981365354745342e-21	2.7679798457253487e-19
f27381	27381	0.00017388503052903357	0.5282556719674235	1.090677160532173e-21	2.7679798457253487e-19
f18245	18245	-0.00015138585288306265	-0.5277991608561144	1.1589007907566133e-21	2.8988443596574583e-19
f25927	25927	-0.00012678638966463039	-0.5272300325717225	1.2813803878254486e-21	3.180929738504871e-19
f16559	16559	0.0003198852497968931	0.5264373140747509	1.447459638713596e-21	3.538231851054692e-19
f27949	27949	-0.00012217513383283013	-0.5264286577943871	1.4461992035091117e-21	3.538231851054692e-19
f16816	16816	-0.00018085593063005945	-0.5267286524518958	1.4577066036754864e-21	3.538231851054692e-19
f20875	20875	-0.00020877573908364866	-0.5263540105071651	1.5185284586433687e-21	3.632054053490942e-19
f20375	20375	-0.00013359411978204402	-0.5264386654952908	1.5142907239574306e-21	3.632054053490942e-19
f23260	23260	0.00019839381818331146	0.5258496862464604	1.6454670726615591e-21	3.9071496403604325e-19
f18838	18838	0.00011369560914057988	0.5249364014085017	1.8409819614743647e-21	4.3089497795422846e-19
f20053	20053	-0.00014531516694530312	-0.5253053328472107	1.828154790424184e-21	4.3089497795422846e-19
f12596	12596	-3.675409576057323e-05	-0.5178702047875532	1.9128966608975137e-21	4.445517573353882e-19
f31926	31926	-0.00015223826228196103	-0.5237937879842767	2.0187337411836397e-21	4.658441354303204e-19
f4804	4804	-0.00020761808687633934	-0.5242796108290474	2.11871852274262e-21	4.854976821904208e-19
f31237	31237	0.0001505325170780582	0.5240348487157495	2.152787567868049e-21	4.898787709993072e-19
f25920	25920	-0.00014765097679628525	-0.5240102667436172	2.2042006118029364e-21	4.981189355004043e-19
f8486	8486	-2.3776629376308327e-05	-0.5239466110994899	2.2251458146966847e-21	4.99408068876582e-19
f22264	22264	0.00018509570292475733	0.523707518320357	2.3345664180814626e-21	5.204018529775059e-19
f28610	28610	-0.0001435379982961292	-0.5233727748009384	2.4733144867145626e-21	5.476051966260999e-19
f20068	20068	-4.845057672095468e-05	-0.5221723631599219	2.560190170697285e-21	5.630356477409976e-19
f3988	3988	0.00015917058946277913	0.5229118529652556	2.624029070478244e-21	5.7322789720954065e-19
f13944	13944	4.582882035850032e-05	0.5224527146287821	2.726917674030791e-21	5.917591943221256e-19
f4567	4567	-0.00014338851047796197	-0.5228457156643194	2.7725933791800755e-21	5.977127621642941e-19
