feature	feature_idx	spearman_af	p	q
f14622	14622	-0.22469614892127912	1.8403041344097955e-09	9.970196929606694e-07
f3324	3324	-0.2240676219538742	2.0467411930916376e-09	1.0817357325036578e-06
f29691	29691	0.22396167384592733	2.083688170833385e-09	1.0837824441566407e-06
f868	868	-0.2235061980042186	2.2500454213884925e-09	1.1520232557509082e-06
f22126	22126	-0.22329014163559463	2.333404214415396e-09	1.1584998378479348e-06
f6320	6320	-0.22336904474222338	2.302619680760679e-09	1.1584998378479348e-06
f25420	25420	-0.22306762981209177	2.4223889522771422e-09	1.1847289729584685e-06
f20311	20311	0.22284047596117224	2.5166292989474706e-09	1.1850555390235154e-06
f19465	19465	-0.22280526750721216	2.531551749622988e-09	1.1850555390235154e-06
f31720	31720	-0.22284500673800545	2.5147152323441594e-09	1.1850555390235154e-06
f25196	25196	0.22238827573439404	2.7149588591878602e-09	1.2452429709141256e-06
f13745	13745	0.22226932767643828	2.76960116500537e-09	1.2452429709141256e-06
f27359	27359	0.22225956870086083	2.7741313744119617e-09	1.2452429709141256e-06
f18044	18044	0.2213286643313386	3.241028913361604e-09	1.2477908440971402e-06
f7340	7340	0.221290011681535	3.261981441224329e-09	1.2477908440971402e-06
f16547	16547	0.22128043444913317	3.2671933004885945e-09	1.2477908440971402e-06
f17866	17866	0.22124972649762248	3.2839589537803105e-09	1.2477908440971402e-06
f25555	25555	0.22119703624139594	3.312921247450293e-09	1.2477908440971402e-06
f3129	3129	-0.2212715723984778	3.2720231688370183e-09	1.2477908440971402e-06
f12669	12669	-0.2212715723984778	3.2720231688370183e-09	1.2477908440971402e-06
f14091	14091	-0.2212715723984778	3.2720231688370183e-09	1.2477908440971402e-06
f17765	17765	-0.2212715723984778	3.2720231688370183e-09	1.2477908440971402e-06
f27144	27144	-0.2212715723984778	3.2720231688370183e-09	1.2477908440971402e-06
f29101	29101	-0.2212715723984778	3.2720231688370183e-09	1.2477908440971402e-06
f30583	30583	-0.2212715723984778	3.2720231688370183e-09	1.2477908440971402e-06
f32633	32633	-0.2212715723984778	3.2720231688370183e-09	1.2477908440971402e-06
f22658	22658	-0.22148162244515052	3.1593896273724653e-09	1.2477908440971402e-06
f23183	23183	0.22088858318508017	3.487513255712367e-09	1.2983771630109381e-06
f4195	4195	-0.22082179754881212	3.5264760592032925e-09	1.2983771630109381e-06
f18991	18991	-0.22060257645226258	3.6573646913406644e-09	1.3316058467316765e-06
f21177	21177	-0.2200843777782574	3.9858003718531904e-09	1.435238533899839e-06
f3450	3450	-0.21947216432976815	4.4108246800593515e-09	1.5710206860454873e-06
f100	100	0.21938868962500063	4.472082127881675e-09	1.5757116899615778e-06
f24109	24109	-0.21920305061775175	4.61128836050508e-09	1.607475499968409e-06
f26440	26440	-0.2188674159563315	4.873727710470191e-09	1.6810769433335497e-06
f19587	19587	-0.21837784382019315	5.282705598089854e-09	1.8031635108146703e-06
f16340	16340	0.21810344560595002	5.526304293808975e-09	1.8668653515415722e-06
f1181	1181	0.21798729219103616	5.632673889530616e-09	1.8833822246136656e-06
f8236	8236	0.21780402452892159	5.804558140097143e-09	1.902848252072764e-06
f12631	12631	0.21780142545467762	5.807032019265027e-09	1.902848252072764e-06
f5032	5032	0.21769784277641285	5.906462720021239e-09	1.91626703375897e-06
f1160	1160	-0.21757709624830715	6.024456073748058e-09	1.935386045338984e-06
f5096	5096	-0.2174579066055816	6.143170429221562e-09	1.95436319053138e-06
f16154	16154	0.2171607110336758	6.4491556371478495e-09	2.031980114596738e-06
f3219	3219	-0.21701016623536268	6.6097462119050575e-09	2.0627444178257612e-06
f1691	1691	0.21641639405040625	7.28182907154143e-09	2.2510469341157508e-06
f31912	31912	0.21587928321454397	7.946562106524456e-09	2.4335789449214335e-06
f27127	27127	-0.21519436812213844	8.8800516410513e-09	2.6942734460552687e-06
f3631	3631	-0.2151238684370954	8.981967200782824e-09	2.7001935893142348e-06
