feature	feature_idx	inv_coding_vs_other_mean_diff_raw	inv_coding_vs_other_cohen_d	p	q
f2217	2217	0.0005176842858137357	0.6171342935638832	3.0598393172310703e-16	8.497018198900653e-14
f312	312	0.00030343820697330634	0.5858241701688934	3.2008251624606897e-16	8.813835203656461e-14
f5130	5130	0.0025371310135851965	0.5853268561043747	3.430033181217792e-16	9.36627727351205e-14
f14178	14178	-0.00044123446850193656	-0.6558583156797205	3.803395976728256e-16	1.0299973501275329e-13
f4868	4868	7.022424405183248e-05	0.6561621522211649	3.9502281107285916e-16	1.0609924158389712e-13
f4206	4206	0.00019517078227957493	0.716913488399443	4.031695039864482e-16	1.0654079279538657e-13
f29368	29368	-6.075645141035493e-05	-0.644641084595874	4.0246364433697495e-16	1.0654079279538657e-13
f4305	4305	1.8267588946044873e-05	0.6698430685674113	4.532139891301486e-16	1.1880732796653367e-13
f24278	24278	0.0001122678296534747	0.6538424905805846	5.033523961393586e-16	1.309035818785278e-13
f21440	21440	3.276344566121454e-05	0.5965500744269441	5.206185020618478e-16	1.3432777224852462e-13
f3695	3695	9.704037511169148e-05	0.674644551321154	5.784186209733085e-16	1.4807516696916698e-13
f20503	20503	0.0008745116752680734	0.7046493892062592	6.392535452223391e-16	1.62380311394152e-13
f29260	29260	0.0005574315119185484	0.6119882218857405	7.222648576078711e-16	1.8205519118534402e-13
f5916	5916	6.203505345896222e-05	0.7166074739266033	7.475843988013805e-16	1.8699882122079113e-13
f22148	22148	0.002581346589035958	0.5814733746537822	8.086868970426961e-16	2.0075039577496263e-13
f20773	20773	0.007627926064315678	0.6145754059814869	8.183320139926172e-16	2.0161731905646678e-13
f31044	31044	-0.012464392903153628	-0.6075759974754956	8.856656316484967e-16	2.1657829416311896e-13
f17841	17841	-5.7696888175929604e-05	-0.5912347254635787	9.41111999021743e-16	2.2843228136255167e-13
f20400	20400	-0.0003577380426805529	-0.6002122373299462	9.783779576198013e-16	2.357315361418062e-13
f16704	16704	-0.00022132012486221362	-0.6410319087930104	1.0534240452345985e-15	2.5196057747625786e-13
f29537	29537	7.048255302889348e-05	0.6576299380858469	1.061140027638574e-15	2.5196693062073036e-13
f36	36	-0.0014566902810340965	-0.5727668004530725	1.1809149822022578e-15	2.783900873151337e-13
f10928	10928	-0.0008285518502820881	-0.5904692826170594	1.234262157419129e-15	2.888878741022144e-13
f21177	21177	6.672607282714634e-05	0.5719405159534231	1.3045249000529064e-15	3.0316788599243713e-13
f20686	20686	0.00011467099487723665	0.6673801007788824	1.342553294853846e-15	3.0980835468852694e-13
f29384	29384	0.001487391582323049	0.6530744301913216	1.3868483104709109e-15	3.1779192613643923e-13
f11446	11446	4.302752883928252e-05	0.6774200129386556	1.4127022803452012e-15	3.214682522385525e-13
f11718	11718	0.00036494079152029886	0.5716276715142025	1.427927047335233e-15	3.2269181715228217e-13
f31033	31033	3.5989224615641384e-05	0.6442428833414594	1.4509220647120809e-15	3.2392716410444427e-13
f852	852	0.00010455572158673708	0.5775262908354412	1.4531644629929599e-15	3.2392716410444427e-13
f21448	21448	-0.0030587614896178243	-0.5749607251424486	1.5011016817553376e-15	3.3218963247016876e-13
f20190	20190	-0.0003417527639663758	-0.620534079961143	1.5105058361222885e-15	3.3218963247016876e-13
f25495	25495	0.0022336101092101856	0.5937174618045533	1.5366810848449576e-15	3.3400654980544083e-13
f25070	25070	-7.167343117565149e-05	-0.7041105765380261	1.5391537176703359e-15	3.3400654980544083e-13
f24059	24059	3.240810851577578e-05	0.5876345185592584	1.6032664862918536e-15	3.4563050146586487e-13
f19465	19465	0.0003263647297042869	0.5698045089018814	1.6257189572306792e-15	3.481801228139536e-13
f25211	25211	4.607327361011293e-05	0.603024600073644	1.680788995101324e-15	3.576369726719493e-13
f6362	6362	9.702495494067215e-06	0.6235801980509854	1.843475741040711e-15	3.89722665047884e-13
f27062	27062	3.874886831517913e-05	0.6334330764900267	2.051939363863011e-15	4.310124940709176e-13
f11154	11154	0.0018989564420793426	0.5698348424871567	2.1454577801004874e-15	4.477857359129476e-13
f24971	24971	0.0008560792207516692	0.6418225926037682	2.1843150080798227e-15	4.5301034294151663e-13
f14666	14666	0.00014364515320290297	0.5874339479877808	2.2571042389186066e-15	4.65162211955251e-13
f32237	32237	6.375491176396865e-05	0.646471451941662	2.3851785403118128e-15	4.884845650558592e-13
f27456	27456	0.01273423285322943	0.5694383180496173	2.4206083674222783e-15	4.926614595260449e-13
f24987	24987	7.611038384044314e-05	0.6568751369778737	2.452386161146451e-15	4.93004844959797e-13
f25299	25299	0.011685136543752023	0.575925062297586	2.4459620228927853e-15	4.93004844959797e-13
f26405	26405	0.000308984031365726	0.59282701543454	2.4792098081846247e-15	4.953582133816694e-13
f29	29	-0.00014838364192389572	-0.6267122388915142	2.627623122112027e-15	5.218300270628296e-13
f21661	21661	-4.7363119094377474e-05	-0.6177567115091726	2.6454076896627317e-15	5.221971034630626e-13
f9828	9828	9.846210783524187e-05	0.6108857823253696	2.831539382886995e-15	5.555921107691081e-13
f12644	12644	-3.3306559413112014e-05	-0.6528510882234748	3.0217129469576493e-15	5.893779157494539e-13
f23572	23572	0.0008510395377042406	0.6161298218701322	3.085952142155426e-15	5.983460342849053e-13
f22292	22292	0.0014115560345926228	0.5703874262904675	3.62050704692712e-15	6.978633818453404e-13
f4671	4671	0.0017056944743783578	0.5700009557545639	3.6759649926432045e-15	7.044094788241668e-13
f20499	20499	8.184889073442405e-05	0.6855872751997871	3.730900470008299e-15	7.107799221001857e-13
f4773	4773	-1.632227805096417e-05	-0.596232338755564	4.392976580006078e-15	8.320754715239258e-13
f21200	21200	0.004528457510377322	0.5620049101517018	4.427854344192885e-15	8.338616732788073e-13
f12850	12850	0.0004620173736541274	0.6213292170153226	4.8376117427382875e-15	9.058220662059897e-13
f8118	8118	0.00013975668391581227	0.6219295163483948	5.173104775553155e-15	9.63138052757533e-13
f24661	24661	-6.657333121106088e-05	-0.5968212444893861	5.5022004993429326e-15	1.018622067584572e-12
f31660	31660	0.0018500483391373087	0.6902216932013322	5.975153694638144e-15	1.0999653722803523e-12
f768	768	0.0032812792181749414	0.6872938004503267	6.058085449823631e-15	1.10900192189844e-12
f1771	1771	4.2115125326427105e-05	0.6717515184846179	6.280364089534054e-15	1.143305391588066e-12
f9268	9268	0.00011355991024187454	0.5573986869152704	6.614191978907658e-15	1.1974245456621334e-12
f8139	8139	-0.004524143703960529	-0.5558390445077082	6.817614893077995e-15	1.2274703561339546e-12
f29865	29865	-1.390522881029317e-05	-0.584928288548145	6.921694694035069e-15	1.2393994083832849e-12
f31568	31568	-9.730891032705784e-06	-0.616619438891185	7.277759582365309e-15	1.2960740543203612e-12
f12120	12120	0.004752669685495121	0.6159498862054249	7.61464205213445e-15	1.3487383284559008e-12
f28753	28753	0.00018799863374580238	0.554741692633257	7.927676420717331e-15	1.3966349513659435e-12
f15868	15868	7.241464354680854e-05	0.556670719055981	8.647429952340718e-15	1.5152886881192547e-12
f6629	6629	-3.675546307058088e-05	-0.6441097777341729	9.086471247466767e-15	1.5837526055159098e-12
f19416	19416	3.412409562092199e-05	0.5974981522957037	9.287193747287094e-15	1.6101733582598069e-12
f23503	23503	0.00010579546883667917	0.5854016221357401	9.603369861572304e-15	1.6562274927579013e-12
f30233	30233	0.00021815577796862126	0.5918080067244945	1.0145518647589972e-14	1.7405673038964827e-12
f27661	27661	2.7293538480454844e-05	0.6674639641296984	1.0571834743171133e-14	1.8042597961678733e-12
f12631	12631	-0.0007763695543769215	-0.5515336411956686	1.0755033613043327e-14	1.8260152405813665e-12
f5745	5745	0.000283009045872811	0.6468762904879032	1.1458090778762374e-14	1.9353542197860074e-12
f17740	17740	0.005714611296026951	0.6175105197106325	1.1529625847875563e-14	1.9374501527342896e-12
f28485	28485	0.0001442299261320689	0.5994795329943551	1.2320193426047717e-14	2.0597351948200592e-12
f8761	8761	-4.0222105122213596e-05	-0.5836442237569464	1.330055729113482e-14	2.2123485345985064e-12
f1969	1969	-5.336897531580124e-05	-0.5760216225541218	1.346866936320813e-14	2.228996756028303e-12
f24538	24538	1.7211160769707373e-05	0.6764265093290294	1.3940048231689145e-14	2.295414575155728e-12
f30141	30141	-0.0003315822853929728	-0.5958440644700176	1.4350836119107995e-14	2.3512409897546538e-12
f5284	5284	-0.00014935814603994402	-0.6009145216620874	1.4812824215321195e-14	2.4148588253116663e-12
f6147	6147	0.00011743370805857077	0.5579102250051515	1.594560263719966e-14	2.5866609268106858e-12
f21983	21983	0.0009232484260134385	0.5891782936671628	1.6288419501104396e-14	2.629255813853147e-12
f26899	26899	-0.001695954330363807	-0.5842047949957982	1.6753118680255466e-14	2.691010749581427e-12
f25620	25620	7.616549614267856e-05	0.5932654062523288	1.7152243845641414e-14	2.7416815918730626e-12
f24288	24288	-0.0010880835763491456	-0.5858826040760886	1.7441177313994745e-14	2.774332515655242e-12
f15284	15284	0.0006685604276820624	0.6762335259755246	1.77579027789492e-14	2.797552683945228e-12
f18846	18846	5.835688712851627e-05	0.6584248045629977	1.7673409540100978e-14	2.797552683945228e-12
f855	855	3.141438424344469e-05	0.5995937193279735	1.8496196065814602e-14	2.8999203477732676e-12
f26161	26161	0.0007645275563561699	0.6634921806240802	1.987688334009852e-14	3.1010073523659127e-12
f16780	16780	0.0003096510895041484	0.6339191542654713	2.0037894997078974e-14	3.1010073523659127e-12
f19730	19730	8.028321172763957e-05	0.5931692886288616	2.0062669638109543e-14	3.1010073523659127e-12
f13112	13112	-0.00011904647776179127	-0.5448047582546658	2.1004372832832252e-14	3.216220976571249e-12
f12407	12407	-0.0001582656161015794	-0.5947637263830768	2.0914286593485527e-14	3.216220976571249e-12
f12496	12496	-0.00056756601168542	-0.5971761613946974	2.2665086784427697e-14	3.4543700639633802e-12
f16707	16707	0.0016130552701481744	0.5437998293084141	2.3222900044463018e-14	3.522999947485945e-12
f31978	31978	1.4063017719347745e-05	0.5504856196835021	2.3799976301392095e-14	3.593906098820351e-12
f3977	3977	0.0001237598925450408	0.5720619719362152	2.64647332622083e-14	3.97796504374331e-12
f21696	21696	0.0007875310873467358	0.6649591592540791	2.9208404174604926e-14	4.370324146088832e-12
f21617	21617	0.005057350926527228	0.5415781838368979	3.0534812920796947e-14	4.5480215899485196e-12
f6284	6284	0.0020164838873933753	0.6699185997742695	3.1375147585347935e-14	4.652039982247426e-12
f9313	9313	-0.003988966794147976	-0.5418935461189786	3.176711871967988e-14	4.688941199128245e-12
f18044	18044	-0.009075853791494991	-0.5405544889149616	3.2209637448497034e-14	4.732939013059869e-12
f31783	31783	6.159600338668182e-05	0.5396402368433765	3.5310835045126994e-14	5.165470726601435e-12
f12839	12839	-0.0001947167239381144	-0.5655011980680509	3.562958176281421e-14	5.188933934239538e-12
f12143	12143	0.00012764616497167665	0.6478520990762544	3.746108796277884e-14	5.431526240550164e-12
f21907	21907	3.326433975881063e-05	0.5854074737987022	4.056101596032657e-14	5.855080929462472e-12
f8310	8310	0.0024966452977890265	0.5845934155924131	4.309105115975233e-14	6.193015633345458e-12
f27290	27290	-0.008753982959522493	-0.5534686430424662	4.3597805541348857e-14	6.23848424444943e-12
f12884	12884	-2.2195069156151753e-05	-0.624896730492869	4.413209242150325e-14	6.287480019425298e-12
f14968	14968	-3.755798212632205e-05	-0.6666154089449806	4.464995386117803e-14	6.333721593606414e-12
f27132	27132	-5.065627894912862e-05	-0.5521465985519037	4.5187729568017363e-14	6.382377252089625e-12
f18978	18978	5.368989733954556e-05	0.5703379613270666	4.549206654309419e-14	6.397785564309487e-12
f27775	27775	0.0008788431140604191	0.5370625817519061	4.846778434462961e-14	6.7871468265163376e-12
f3180	3180	0.00026363591938528396	0.5899575186761381	4.890375983452882e-14	6.813067889544613e-12
f25991	25991	0.00021184352591878007	0.5440069944069057	4.9068726255265154e-14	6.813067889544613e-12
f29824	29824	5.274837439873394e-05	0.6297366350698683	4.949798334393099e-14	6.814915622747608e-12
f16981	16981	-2.1997791651796742e-05	-0.587834360912795	4.94432547838011e-14	6.814915622747608e-12
f28846	28846	-0.0031584487611528165	-0.5726079107121457	5.017912653863518e-14	6.85730561715579e-12
f27197	27197	-0.0001048445117301377	-0.6244222032240749	5.022440637565276e-14	6.85730561715579e-12
f3980	3980	0.00030458706500165487	0.6045130826553436	5.5964126825995356e-14	7.609263517984297e-12
f23058	23058	1.0749504358514374e-05	0.6018890705231638	5.6644008820726465e-14	7.669879673708946e-12
f6643	6643	0.00019926345549338157	0.6617532024627134	5.781360878308295e-14	7.796034290551696e-12
f10924	10924	0.00035624946209318056	0.5611725836759226	5.940470131219999e-14	7.977759231959711e-12
f25186	25186	0.00039502651794002814	0.6617318262772148	6.173559157791623e-14	8.256946387041465e-12
f8361	8361	-0.00034679729065343793	-0.6399153358428233	6.718488031921205e-14	8.949244545934718e-12
f7066	7066	5.1520216792352334e-05	0.5702429320155953	7.611702320859675e-14	1.0097986301616592e-11
f19638	19638	0.00013807829822222938	0.533943085578616	7.810117157884541e-14	1.0319432218933896e-11
f1941	1941	0.0005440909353866552	0.5318246367154384	7.895779630087745e-14	1.0390719153362057e-11
f10890	10890	0.0001517287720536992	0.6522442501806672	8.290211149909889e-14	1.0866145558409889e-11
f5656	5656	-0.00020126077387490755	-0.6123377525634282	8.93736690537729e-14	1.166771469145032e-11
f12668	12668	1.698484852521698e-05	0.5759720066516049	9.18621690760435e-14	1.1944998239221402e-11
f1620	1620	0.00010497013244749548	0.5823666112228332	9.420747973797381e-14	1.2201544253177572e-11
f3405	3405	7.895068924941824e-05	0.6438908965441249	9.708770155164472e-14	1.2525077970253128e-11
f12461	12461	0.00016431960570659503	0.5718580760779746	9.824022930076769e-14	1.2624062093049238e-11
f23989	23989	0.000734757899361694	0.5416004644053676	9.886091367807212e-14	1.2643883900331345e-11
f28737	28737	6.830447479406373e-05	0.5297789499298331	9.916620368607043e-14	1.2643883900331345e-11
f22462	22462	0.00017137133846757018	0.5940552522893343	1.007442373832875e-13	1.2795299110758003e-11
f32026	32026	-0.001925197078432317	-0.5764751150940366	1.0699195257063258e-13	1.3536340933723894e-11
f6703	6703	-3.866472227174873e-05	-0.5722708124450923	1.0934112377680915e-13	1.3780345938148008e-11
f27831	27831	0.00018283531456334836	0.6350832750975968	1.1359426084840877e-13	1.4261520074638539e-11
f10424	10424	0.00011116126897760709	0.571646338517541	1.222088474193304e-13	1.5284501955101595e-11
f22311	22311	0.00023293790664776035	0.5718122210980132	1.258200758237609e-13	1.5676320321646376e-11
f15836	15836	1.3550075592411271e-05	0.576348958763752	1.2779175571706613e-13	1.5861667618700085e-11
f14255	14255	1.6031231908312e-05	0.6007347146184848	1.3714187524945736e-13	1.6957981011978186e-11
f23452	23452	0.0002877587642629271	0.5498099460195465	1.4150379101227198e-13	1.736627799209786e-11
f22907	22907	0.00020164396200496776	0.5428155471431523	1.4107580461081486e-13	1.736627799209786e-11
f30699	30699	-0.00014837477281238752	-0.5704345375896478	1.482489866641663e-13	1.8126204458997765e-11
f32255	32255	-2.695722905859636e-05	-0.650740504794808	1.560473560222613e-13	1.9008772349953376e-11
f3631	3631	0.0004535352696620195	0.5260688216683087	1.6222122273122497e-13	1.9687648246136223e-11
f892	892	-0.00016510518967347717	-0.5263084506047317	1.698142886971686e-13	2.0533116649552844e-11
f14638	14638	0.026164181531674307	0.529087729626498	1.7587368757254571e-13	2.1154543965027575e-11
f17715	17715	-0.001347449301348387	-0.5304308603437042	1.7624482734535301e-13	2.1154543965027575e-11
f12752	12752	0.0021910528014803896	0.5568384848265968	1.8926750470136871e-13	2.2569122552684775e-11
f32613	32613	-9.294299776941393e-05	-0.5279912646711032	1.894076141964207e-13	2.2569122552684775e-11
f32281	32281	0.0011822321050257122	0.5286972969680303	1.9099779301531643e-13	2.2676143773644523e-11
f15019	15019	-0.0002790489420528737	-0.5622275115563393	1.9799935420655508e-13	2.342253732361154e-11
f16185	16185	6.493993889565976e-05	0.552671336526477	2.032862553496784e-13	2.396145329243979e-11
f32704	32704	-0.0035216298684081137	-0.5267317139518649	2.0467563228404377e-13	2.4038749529331705e-11
