feature	feature_idx	inv_coding_vs_other_mean_diff_raw	inv_coding_vs_other_cohen_d	p	q
f3269	3269	0.00027705123806126216	0.9584071629660526	1.0017694011556472e-33	3.282597973706825e-29
f294	294	0.0016901079763232255	0.9110480723602165	5.48075991511873e-29	8.979677044930527e-25
f23105	23105	0.00010628742776777657	0.8886069460171223	1.1996401912480247e-28	1.3103269928938425e-24
f16232	16232	-8.360698411337046e-05	-0.8373811104804959	4.973418438962404e-28	4.0742243851980014e-24
f26908	26908	-0.008882241086940725	-0.828981944537078	1.2597307300323463e-27	7.168158752362636e-24
f28289	28289	-0.00032935242375034963	-0.8580168299412286	1.3125290684257756e-27	7.168158752362636e-24
f3165	3165	0.0002741765873288557	0.9370004153485206	1.2697233691454515e-26	5.943756480022594e-23
f4172	4172	-9.146746772307029e-05	-0.8318197519135572	1.4603671176177453e-26	5.981663713762285e-23
f21641	21641	0.00016811692881410075	0.8530545529072475	2.0043866962437084e-26	7.297749251390427e-23
f31769	31769	0.000509583075828097	0.8305734069973411	3.5903052429839517e-26	1.1764712220209812e-22
f18786	18786	-0.0012279260005292373	-0.7913884393490462	6.269538600166463e-26	1.8676385531841331e-22
f5359	5359	0.000770489616457745	0.8032041226919002	9.204967446246194e-26	2.5135697773216276e-22
f6236	6236	0.00034982729290720797	0.7688472655349541	4.457386387913755e-25	1.123535670455061e-21
f24391	24391	0.016171406853252756	0.8084614796931123	8.61498404579868e-25	2.0163985515195083e-21
f12927	12927	0.0007240340434739576	0.8280741425508298	1.183140412827615e-24	2.584609669835686e-21
f13653	13653	0.0001915316153222438	0.8243058910308204	1.9227443662552628e-24	3.937780462090778e-21
f24677	24677	4.197328334991802e-05	0.7692188176214149	2.6541573713835873e-24	5.115966396793964e-21
f13903	13903	-0.0009547014362332729	-0.7471237120164455	8.173304661459924e-24	1.48790470637066e-20
f1911	1911	6.969209874678811e-05	0.7737483393639132	2.1223544194480262e-23	3.6602794534985747e-20
f11299	11299	-0.0005002954826410502	-0.7325657671020154	3.0745866155602966e-23	5.03740271093399e-20
f4611	4611	-7.030689852398198e-05	-0.7623949489087761	4.0919006693018606e-23	6.384923863413494e-20
f21809	21809	-0.00041361169403608027	-0.7251274745718549	9.153667467629889e-23	1.3633971617240738e-19
f14687	14687	0.0002629759375562665	0.7332856486108946	1.2493148486912279e-22	1.7798934331267024e-19
f22979	22979	0.00012774465596513757	0.750182622981207	1.6878408632335705e-22	2.1271988233245247e-19
f15275	15275	-0.004213636525154551	-0.7490190006856333	1.6776922791922325e-22	2.1271988233245247e-19
f6318	6318	-0.004159245606190789	-0.7897823070090784	1.6449427161311602e-22	2.1271988233245247e-19
f24315	24315	-0.00023035919494086008	-0.7144677116548696	2.3042506996842274e-22	2.796506923231584e-19
f28889	28889	0.001679503667767481	0.7806146053850286	3.7962988861869313e-22	4.442754353663334e-19
f32179	32179	-4.7510134255799536e-05	-0.7974824762503696	5.1558874222971e-22	5.825797208752806e-19
f20157	20157	-6.746990592320967e-05	-0.7485234724075825	1.0322395229543432e-21	1.1274808229389305e-18
f18692	18692	0.0002950357808468658	0.7464877487782868	1.387224978004995e-21	1.4663415509441186e-18
f24052	24052	-0.0029214652128778835	-0.7444942947908463	1.478970560087809e-21	1.5144658535299163e-18
f24286	24286	9.324254180950433e-05	0.8080026514440527	1.860653836307089e-21	1.8475728760033545e-18
f28944	28944	-0.00022966525737264738	-0.7623509777053757	3.0086682186986745e-21	2.8996482408917106e-18
f17175	17175	-0.00015300503493764198	-0.7269239085661178	3.58838087515281e-21	3.359544700485922e-18
f24006	24006	5.230580240395484e-05	0.7227117594373625	4.186666500007335e-21	3.810796885340009e-18
f25852	25852	4.816988968297811e-05	0.6851897952312466	5.265421792581295e-21	4.6631713864676724e-18
f13964	13964	0.00012880491083840675	0.7980055470032158	5.7495715453717555e-21	4.957946326282676e-18
f12285	12285	-0.00022307188685645061	-0.7213323085756114	7.553759453328679e-21	6.346707429914722e-18
f25056	25056	0.0001050324640873754	0.6988431507344579	8.826211714318548e-21	7.230432636369755e-18
f25247	25247	0.006610468956580535	0.7019978347454806	9.136063507338699e-21	7.30172021971889e-18
f31608	31608	5.831972441507355e-05	0.792346873418462	1.1770292404858075e-20	9.183070036247366e-18
f13044	13044	2.7576316692068967e-05	0.7249513593098504	1.982067657421654e-20	1.4760998408725627e-17
f12400	12400	0.0003703677061189536	0.6999566461389212	1.9644643567061035e-20	1.4760998408725627e-17
f10254	10254	-0.008616276560412417	-0.7275338060945238	2.6491782932295424e-20	1.9290727625010143e-17
f2408	2408	-0.00010444940687780784	-0.7496022413801805	2.945614579671889e-20	2.0983021423193144e-17
f876	876	0.006920949615530006	0.7347741052825949	4.573727178924549e-20	3.188763663808502e-17
f12784	12784	0.0004177058793770207	0.6713549552626911	5.1008008026030614e-20	3.459650713260043e-17
f6160	6160	5.508236319533612e-05	0.6640747766288211	5.173427885429142e-20	3.459650713260043e-17
f8246	8246	0.000105382497000163	0.7880547807877759	6.188200038861404e-20	4.0554987774682103e-17
f19478	19478	4.3696398247524174e-05	0.7307326783328195	1.440484102526067e-19	9.255251582661601e-17
f23376	23376	0.00012739435784440333	0.7058127684917737	1.5035673627300246e-19	9.474787565757202e-17
f15952	15952	1.7087260780427005e-05	0.8105373529393518	1.5607044747689438e-19	9.649276269665802e-17
f14292	14292	4.0928255919194526e-05	0.7782809091023322	1.606843680294439e-19	9.750565502942255e-17
f22906	22906	9.739388825630614e-05	0.6872078690841754	1.8357626587333476e-19	1.0937140145704425e-16
f5530	5530	1.3794898802286923e-05	0.6713685851567681	1.9591745688154117e-19	1.1463970048382753e-16
f19347	19347	-0.00010641459206912088	-0.674250088483297	4.2574743519642926e-19	2.447524904652034e-16
f14805	14805	8.712367945352083e-05	0.7060016909547596	4.529410193382928e-19	2.558960572702962e-16
f982	982	2.4695164076617845e-05	0.7538582399759411	4.905362191940397e-19	2.7243882763644563e-16
f13480	13480	0.0007091004127923073	0.6431846613013292	6.029582970846108e-19	3.292956246478088e-16
f6531	6531	6.471321358689623e-05	0.7127886790159412	6.822962404585258e-19	3.665161181531963e-16
f29757	29757	-0.0009719017983087614	-0.6569851370092982	7.952771099690043e-19	4.203167796687795e-16
f1507	1507	1.3942761680815804e-05	0.6812253097947418	8.3233727154717095e-19	4.3292107482631264e-16
f16150	16150	0.0001260285657804534	0.6958428051432932	8.972749696679068e-19	4.594047844699683e-16
f3106	3106	4.867625935601211e-05	0.7791249984093481	9.431354098665254e-19	4.754563247770201e-16
f17563	17563	0.0002986956743198065	0.6448722017009498	9.875070309414647e-19	4.902822786346957e-16
f27844	27844	0.0009302771062532833	0.645573303482951	1.2887588690990917e-18	6.302992630244633e-16
f27328	27328	0.0004452364459553576	0.6575603403912754	1.3177202423173455e-18	6.349861308860996e-16
f32485	32485	-0.0001968683407217779	-0.7105318599501826	1.5972939388326233e-18	7.585525766328608e-16
f11178	11178	-2.2102555485714155e-05	-0.6660422111009909	1.6660373721871097e-18	7.798958944546744e-16
f1340	1340	-0.00014817963143035353	-0.6842691084972863	1.769133360073063e-18	8.164924217306216e-16
f19254	19254	0.00012055703429966572	0.6743958029336833	1.8109559894618723e-18	8.241861925373143e-16
f17547	17547	7.503889181870913e-05	0.6496479162305431	2.027934908457176e-18	9.102927545249964e-16
f28919	28919	0.005151206239442186	0.6342718440556552	2.3420125452528556e-18	1.0370684740925078e-15
f6648	6648	0.00047159558004808	0.6601359764583385	2.3881691091057296e-18	1.0434070048956872e-15
f7613	7613	0.00013424826154652945	0.6991311733693949	2.578998300314676e-18	1.1119554776935698e-15
f1973	1973	0.00015624814133428884	0.6692544104022705	4.093374289067459e-18	1.7196370346687498e-15
f2327	2327	-5.9871040465297146e-05	-0.6514955100166862	4.069993816400198e-18	1.7196370346687498e-15
f5561	5561	1.7405650579063556e-05	0.6285089344289788	7.611488761729482e-18	3.1571299208145783e-15
f28997	28997	-9.028446131919998e-05	-0.6779177935642317	7.77087010673547e-18	3.1829483957188488e-15
f29506	29506	-0.0014231853448179684	-0.6188985192651689	1.2096329783262024e-17	4.893488078246049e-15
f8805	8805	8.959294752870438e-05	0.7478378204300357	1.585290985733937e-17	6.258652412112005e-15
f10317	10317	0.00011405772579622435	0.6853835313964942	1.578874293169891e-17	6.258652412112005e-15
f15182	15182	0.0001848512499110402	0.6203741665418377	1.80977176071118e-17	7.0598334589266604e-15
f20622	20622	-8.852725379769801e-05	-0.6513587148109194	1.8752459052943693e-17	7.229183273492457e-15
f26680	26680	5.469265294084906e-05	0.6537359664577025	2.2277777559068322e-17	8.48835133785524e-15
f25061	25061	6.809792160714506e-05	0.6622905887536756	2.780151598011149e-17	1.0471265237198773e-14
f10898	10898	2.317214318996668e-05	0.7470356937163811	3.175010700556496e-17	1.1822585299526733e-14
f19450	19450	0.002968226486420604	0.6459450239861124	4.306286468435851e-17	1.5854875842438873e-14
f27003	27003	0.00027902768611625913	0.606560836877459	4.5483806862394496e-17	1.656014870296603e-14
f24567	24567	0.000859323175419536	0.6330897586647714	5.0095579808554173e-17	1.803881273809564e-14
f28005	28005	-0.00012845264140914225	-0.6392214861879787	5.385637223814972e-17	1.9182234842387937e-14
f6985	6985	0.00014612174085122583	0.624961729776621	5.5620712258643e-17	1.9597629024636707e-14
f9855	9855	0.0001717058427020372	0.6482657649436775	5.689644380096766e-17	1.9833858196490514e-14
f15203	15203	0.0001449988424423552	0.652255166747631	5.768622020569183e-17	1.989749540736958e-14
f11134	11134	0.0007427159328905375	0.6013031213156251	6.318515683448654e-17	2.156720019950474e-14
f1704	1704	0.0004891515403363383	0.607878793092618	6.556102414677867e-17	2.2147460198367457e-14
f11756	11756	0.008371698596366177	0.6887964415916248	6.667509922357665e-17	2.2293976034266934e-14
f16932	16932	0.00017505577728456177	0.6576843199214204	9.05247633490738e-17	2.996278227699445e-14
f18303	18303	1.1144731519016997e-05	0.649700421004038	1.1172512104766315e-16	3.661008766489826e-14
f32033	32033	-3.3340454780060374e-05	-0.7037915511193726	1.237890660778776e-16	4.016158531920687e-14
f3921	3921	-0.001981960858814122	-0.6023493282482401	1.2508586860747318e-16	4.0184448456173346e-14
f19922	19922	-0.0003034278894523006	-0.6172334622505827	1.3522251998023632e-16	4.301914111371246e-14
f29750	29750	1.3787572254423905e-05	0.6741203451972374	1.4447383659471324e-16	4.552037189938042e-14
f24688	24688	0.00015033363967530226	0.6394259932732406	1.4969881772084927e-16	4.6717436753112275e-14
f5490	5490	0.00023233507956237353	0.6516671101294308	1.5156729184185097e-16	4.6854311500695965e-14
f14476	14476	0.00010964773914730374	0.7104229249883981	1.7814503191509386e-16	5.405052227586848e-14
f19433	19433	4.228826202944031e-05	0.659596693884944	1.767740112053009e-16	5.405052227586848e-14
f28143	28143	3.27600760657966e-05	0.6470846433369124	1.8972656596587962e-16	5.6517819214272213e-14
f25302	25302	0.0029625353057154626	0.5951634525932044	1.890860666249651e-16	5.6517819214272213e-14
f3667	3667	4.914092160452597e-05	0.616311619234815	2.1044377353863905e-16	6.212451866048761e-14
f5101	5101	0.0002651688300163506	0.5882000025719736	2.3729142229408403e-16	6.94246904083263e-14
f10209	10209	-0.001832477668895153	-0.6186137535955885	2.515022642076369e-16	7.29312052527066e-14
f18991	18991	0.000240146657583027	0.5876380235026671	2.617961510815738e-16	7.525031823369308e-14
f23250	23250	0.0012500796669819647	0.7277782669086237	2.6770698562162916e-16	7.628019569434387e-14
f26686	26686	0.000515951146998719	0.5958636890853728	2.7021556272853576e-16	7.633123758179879e-14
f7017	7017	-1.353230236803109e-05	-0.6090793317564563	2.9508655711968617e-16	8.26444128521186e-14
