feature	feature_idx	spearman_log_inv_len	p	q
f29730	29730	0.4125956169283637	3.7728266017099755e-30	9.095152755384865e-26
f28417	28417	0.4114884251730293	5.5512406954253325e-30	9.095152755384865e-26
f11198	11198	0.395957082555191	1.0763305280142633e-27	1.1756399580657127e-23
f6771	6771	0.390498874280803	6.419676574830144e-27	5.258999050100854e-23
f14060	14060	0.3853569564861414	3.349287757027663e-26	2.194989224445649e-22
f5056	5056	-0.36193243430492594	4.3247931371370794e-23	2.361913691961797e-19
f5612	5612	0.3609025374904623	5.847429607568447e-23	2.7372653340114697e-19
f13413	13413	-0.3584285143676717	1.2014498458194077e-22	4.921138568476294e-19
f17323	17323	0.34671518769711407	3.3380241355679654e-21	1.0971601876547686e-17
f29216	29216	0.3464950571088412	3.5485092217546816e-21	1.0971601876547686e-17
f21177	21177	-0.3463609619427316	3.6830938916633464e-21	1.0971601876547686e-17
f2269	2269	0.33468869714133914	8.784838262826074e-20	2.3988465016357067e-16
f1842	1842	0.333168730341512	1.314720272270734e-19	3.3139041447513393e-16
f14105	14105	0.33124635453641155	2.1821910137912706e-19	5.107573938565168e-16
f13173	13173	0.3260192641045674	8.4997872952569e-19	1.856806867273187e-15
f23423	23423	0.325616297370491	9.428843825918577e-19	1.9310272155481245e-15
f32645	32645	0.32527645638207536	1.0289614330199749e-18	1.983353425717561e-15
f26908	26908	0.3239118707328385	1.4596943195713519e-18	2.657292414650781e-15
f18044	18044	0.3235320824213693	1.6083876047416786e-18	2.773876054325017e-15
f10075	10075	0.32184648268879795	2.4697301796890196e-18	3.853719929907133e-15
f9268	9268	-0.3220344874597576	2.3546866295520164e-18	3.853719929907133e-15
f24319	24319	0.3197113472123436	4.235456466577995e-18	6.308519886219443e-15
f4817	4817	0.3194350421119191	4.540224546052227e-18	6.468438170653886e-15
f21705	21705	-0.3173984972983209	7.560257378300149e-18	9.909380550885572e-15
f16553	16553	-0.3175557121794597	7.269442080967576e-18	9.909380550885572e-15
f28032	28032	0.31582085099941226	1.119253838432679e-17	1.4106042222216163e-14
f7389	7389	-0.31494355796094425	1.3907237161222296e-17	1.6878235085145638e-14
f21448	21448	0.31406643873563006	1.7267187668077588e-17	2.0207543053841657e-14
f27780	27780	0.313793874649977	1.8465557907252634e-17	2.0864806948443252e-14
f5530	5530	-0.3136507091186374	1.912743402397884e-17	2.0892258603257955e-14
f9134	9134	0.3126157264901041	2.4659038427254315e-17	2.6065399070460303e-14
f13363	13363	0.31211297935024734	2.7887384457594314e-17	2.855668168457658e-14
f22842	22842	-0.3112380483751034	3.452640176526995e-17	3.4283670698314115e-14
f14871	14871	0.3109769280665286	3.6793444707135886e-17	3.5293129066081047e-14
f27207	27207	-0.3108772314323454	3.769712882424428e-17	3.5293129066081047e-14
f16614	16614	0.3084399149949442	6.802760646892442e-17	5.89640817343733e-14
f7522	7522	0.3084266496754207	6.824549892590376e-17	5.89640817343733e-14
f8139	8139	0.30841855743845026	6.837875689410965e-17	5.89640817343733e-14
f13480	13480	-0.3073627248816259	8.815209602400065e-17	7.406584314139624e-14
f3631	3631	-0.30708719103830423	9.417734322644364e-17	7.715007957110263e-14
f14897	14897	0.30655295085869966	1.0703698162865827e-16	8.512652257609006e-14
f2234	2234	0.30627829123698785	1.143056333419178e-16	8.512652257609006e-14
f6513	6513	-0.3062822776575364	1.1419674087101767e-16	8.512652257609006e-14
f20325	20325	-0.30646839684223603	1.0922478424659422e-16	8.512652257609006e-14
f2278	2278	0.30452088564423285	1.737512490835409e-16	1.2652179844376596e-13
f28753	28753	-0.30437351173907884	1.7993787205524203e-16	1.2817835198926458e-13
f17596	17596	0.3031674566863265	2.3941175974550086e-16	1.659040035721066e-13
f14170	14170	-0.30310406609737167	2.43023442732578e-16	1.659040035721066e-13
f12386	12386	0.30230150960438756	2.936551228831679e-16	1.963773687068499e-13
f13309	13309	0.30174511924618397	3.3470898026381846e-16	2.1935487730569606e-13
f28997	28997	0.30144228073113877	3.5937495423618834e-16	2.309019313806161e-13
f10209	10209	0.3012980001647496	3.7174687832855066e-16	2.3425772517442207e-13
f24484	24484	0.30109152641643716	3.901834688822581e-16	2.4123645110063833e-13
f8692	8692	0.2998753569782776	5.184988771601487e-16	3.1463280012562507e-13
f26750	26750	0.2982278687859118	7.604815652994658e-16	4.5308108966787085e-13
f26983	26983	0.29796111673524733	8.089490785287139e-16	4.733507750933732e-13
f5732	5732	0.29763094775780163	8.731604104641262e-16	5.019600057910261e-13
f28578	28578	-0.29697863049951584	1.0150981701112181e-15	5.73495462727662e-13
f660	660	0.29595140105592754	1.2858186643819635e-15	7.022284332411364e-13
f23701	23701	-0.29601355126880513	1.2675921909031556e-15	7.022284332411364e-13
f8203	8203	0.29577136386050695	1.3400835947097952e-15	7.198665447778782e-13
f12356	12356	0.29561472147982604	1.3891238039923526e-15	7.304297515080407e-13
f12375	12375	0.2955181937942296	1.4202177645118377e-15	7.304297515080407e-13
f25299	25299	-0.29549857498850185	1.426620608414142e-15	7.304297515080407e-13
f19465	19465	-0.294484557189364	1.7991815260984927e-15	9.070089268799294e-13
f2249	2249	0.293606491420328	2.1978959304526666e-15	1.0912220280162572e-12
f9136	9136	0.29352327964298186	2.239906240712649e-15	1.0954813088906281e-12
f19996	19996	0.29298635804624706	2.53059017105076e-15	1.2194467459557544e-12
f26772	26772	0.2920630651267122	3.1194981331860647e-15	1.4602816404034424e-12
f4277	4277	-0.29210320539931744	3.0913013646903694e-15	1.4602816404034424e-12
