feature	feature_idx	spearman_log_inv_len	p	q
f31783	31783	-0.2919213446573684	3.221086266614764e-15	1.4865993631610223e-12
f3881	3881	-0.29181903944347964	3.2964338636372715e-15	1.5002436783842515e-12
f16365	16365	-0.29146771676758226	3.568603788610736e-15	1.6018631362355698e-12
f6385	6385	0.2913010952148538	3.705288591779652e-15	1.6407418456139952e-12
f26048	26048	0.29111503805738953	3.8639998259081064e-15	1.6764418754027537e-12
f22070	22070	0.2910872934130439	3.888231888751504e-15	1.6764418754027537e-12
f25362	25362	0.2892808178830263	5.832972938526033e-15	2.482270873371702e-12
f1679	1679	0.28820712331121573	7.412779455410169e-15	3.1141276563446207e-12
f19937	19937	0.28803718315280485	7.698665086862882e-15	3.1932893362825687e-12
f5967	5967	-0.2869720362971099	9.75368512751389e-15	3.995109428229689e-12
f2179	2179	-0.2861197019420945	1.1778168714439619e-14	4.649964246201897e-12
f3708	3708	-0.2861197019420945	1.1778168714439619e-14	4.649964246201897e-12
f20980	20980	-0.2861197019420945	1.1778168714439619e-14	4.649964246201897e-12
f4876	4876	0.2857098142175462	1.2893428589921517e-14	5.029665095649384e-12
f18991	18991	-0.28559092320599966	1.323588228877148e-14	5.102510480452516e-12
f20311	20311	0.2854405696400586	1.3681771050596896e-14	5.153152572252404e-12
f19638	19638	-0.2854725603964717	1.3585680759191175e-14	5.153152572252404e-12
f6286	6286	0.28490465391004643	1.5394337170507128e-14	5.732291368217927e-12
f10170	10170	0.2844528046244434	1.7000421767481674e-14	6.259211466031904e-12
f10927	10927	0.28137534395746444	3.3259838736224855e-14	1.2109537730095734e-11
f12446	12446	0.28107879008302994	3.5466254919082616e-14	1.2770969683390101e-11
f26823	26823	0.28019952535331194	4.2887056277769253e-14	1.5207351959398565e-11
f10466	10466	0.2801700556092423	4.3160514289064534e-14	1.5207351959398565e-11
f18382	18382	0.27986674824331936	4.607630495524976e-14	1.6062003838017276e-11
f23372	23372	0.2796382123968094	4.840014027030856e-14	1.6694482067131273e-11
f18926	18926	0.27936848484468907	5.129105939491532e-14	1.7507348273464428e-11
f27527	27527	-0.27910917483510417	5.422974930254273e-14	1.831959201181155e-11
f313	313	0.27892508142123806	5.641565931025566e-14	1.8863554329372017e-11
f26053	26053	0.2787923932778874	5.804456020831065e-14	1.9208766745799278e-11
f24766	24766	0.2787249006597107	5.889072445502582e-14	1.9208766745799278e-11
f5519	5519	0.27869994047673097	5.920670902483298e-14	1.9208766745799278e-11
f29926	29926	0.27834784893422165	6.384527518104384e-14	2.0510607618945535e-11
f15691	15691	-0.27798984486877304	6.892686940542872e-14	2.1928113171622217e-11
f29828	29828	-0.2778020636741014	7.174880398043774e-14	2.2606392392605614e-11
f11104	11104	0.27772189585415635	7.29877848520174e-14	2.277774984791339e-11
f19743	19743	-0.27690211087586075	8.692511315488032e-14	2.687134064018036e-11
f23991	23991	0.2768435954742348	8.80142243391869e-14	2.6953739281742768e-11
f5067	5067	0.2764395430069311	9.590856634417823e-14	2.9054231452389276e-11
f15275	15275	0.27640345832030905	9.66464608249033e-14	2.9054231452389276e-11
f24915	24915	0.27533524805915593	1.211987972230394e-13	3.610401988549595e-11
f2260	2260	0.27525674577895015	1.2322711374835902e-13	3.6377532101857914e-11
f18944	18944	0.2750231919602882	1.2946045533359255e-13	3.787643036045679e-11
f24377	24377	0.2748815557458287	1.333901127073905e-13	3.868077179819268e-11
f8606	8606	0.27366152943423744	1.724544728239777e-13	4.924770369741792e-11
f24404	24404	0.27365100961435296	1.728358741822223e-13	4.924770369741792e-11
f5259	5259	0.2730445899904479	1.9627740475141335e-13	5.54449827490889e-11
f31345	31345	0.27289417879669603	2.0255796494756415e-13	5.6730080302579335e-11
f21509	21509	0.2722689569476838	2.308440559006538e-13	6.369021299626243e-11
f14080	14080	0.2722469994171344	2.319048067586985e-13	6.369021299626243e-11
f16151	16151	0.2722194896560433	2.332405261093595e-13	6.369021299626243e-11
f20170	20170	0.27207966509807713	2.4014706268728973e-13	6.503420619948025e-11
f2408	2408	0.271400420326158	2.7665454157574954e-13	7.43066886750341e-11
f24751	24751	0.27116337015855707	2.906339431242253e-13	7.742677275036272e-11
f3921	3921	0.2709260408890172	3.053226529207443e-13	8.055119343736343e-11
f14050	14050	-0.2708952887185703	3.072784173483407e-13	8.055119343736343e-11
f16154	16154	0.27063941263302593	3.2403475427489884e-13	8.426960974666576e-11
f12883	12883	0.27057373394863166	3.2847824166662716e-13	8.475255923568534e-11
f312	312	-0.2692996359669136	4.2749715045829604e-13	1.0943927051732379e-10
f17342	17342	-0.26920872830304227	4.355865887599588e-13	1.1064574682547543e-10
f14914	14914	0.26910435920943715	4.450589341924268e-13	1.121822396585957e-10
f10917	10917	0.26886417379533073	4.676309932137524e-13	1.1697200294372702e-10
f8769	8769	0.2686703446483601	4.866610574842548e-13	1.2080992069427319e-10
f10571	10571	-0.26862926462139786	4.907906615212596e-13	1.2091901050171905e-10
f29459	29459	-0.26814631252960686	5.419903012314992e-13	1.3253685216980424e-10
f15502	15502	0.2678755247212165	5.729500373951098e-13	1.3906982833602193e-10
f17871	17871	0.26758550909124157	6.080297478967443e-13	1.4649940278735674e-10
f11129	11129	0.2674076789442806	6.305713361720122e-13	1.508216171071861e-10
f26854	26854	0.26616006264759934	8.134285705801304e-13	1.9314802464325878e-10
f564	564	-0.2655696298089689	9.171758336292188e-13	2.1621595479397296e-10
f28846	28846	0.26531777709406235	9.652750100778882e-13	2.2592951093023029e-10
f18303	18303	-0.2650099638249838	1.027424827290647e-12	2.3877061518198526e-10
f12665	12665	-0.26430245752233117	1.1855069281439028e-12	2.7356824662971414e-10
f36	36	0.2642577619757671	1.1962566506194657e-12	2.741184470454451e-10
f4413	4413	-0.2633670165354696	1.4315229933208656e-12	3.257510100356814e-10
f11916	11916	0.2631494414270215	1.4955464954884463e-12	3.379728797528649e-10
f12225	12225	-0.2620496792308326	1.864571946259444e-12	4.184814625686949e-10
f10950	10950	-0.261904641735484	1.9194524612340692e-12	4.278681513586257e-10
f7997	7997	0.2613483454853872	2.1449961675510625e-12	4.732254418603693e-10
f17651	17651	-0.26133243950859714	2.1518124645140084e-12	4.732254418603693e-10
f10146	10146	-0.26062610266196695	2.476846473893829e-12	5.4107536837702e-10
f17067	17067	-0.25971033579196456	2.9705435604278645e-12	6.446276250867567e-10
f8275	8275	0.2595156221332398	3.087309271206595e-12	6.655588828874849e-10
f30820	30820	0.2592098863947322	3.279771361059705e-12	7.024284180340158e-10
f15868	15868	-0.2586876367757913	3.6360256091069876e-12	7.736706958390765e-10
f31912	31912	0.25833725160846766	3.895981230247285e-12	8.236355674370518e-10
f6536	6536	0.25802900219391744	4.139646179411962e-12	8.695379872241742e-10
f14457	14457	0.25757554683156914	4.525404449395678e-12	9.445124394764176e-10
f18692	18692	-0.2564462449076325	5.645426067412457e-12	1.1708184897276671e-09
f17078	17078	0.2562243310662213	5.895414121634735e-12	1.214974402124069e-09
f17575	17575	0.2561103720558999	6.027964862733646e-12	1.2345272038878508e-09
f2986	2986	-0.2548735864007437	7.667727518652268e-12	1.5605968654111648e-09
f20839	20839	0.25459516868355214	8.093073699208642e-12	1.6369990060226467e-09
f26052	26052	0.2545220333498496	8.208577180199354e-12	1.6501758100660886e-09
f3418	3418	0.25411516222163333	8.881185330060862e-12	1.7745041518014287e-09
f4559	4559	0.2530510136249409	1.0905440043756503e-11	2.1657542991140184e-09
f18591	18591	0.25280118579457417	1.144243610827759e-11	2.2574150073099836e-09
f25274	25274	-0.2527729317776127	1.1504770087303689e-11	2.2574150073099836e-09
f31978	31978	-0.25263981439030897	1.1802947549338445e-11	2.302136817242394e-09
f12545	12545	0.252587040154325	1.1923239092783277e-11	2.3118384532090084e-09
f5101	5101	-0.25228269238427037	1.2640698069062565e-11	2.436531731335542e-09
f17123	17123	0.2517947170352662	1.3879984673532481e-11	2.6597622092532884e-09
f20807	20807	0.25164382861519347	1.4286674934218226e-11	2.721777699095714e-09
f2989	2989	-0.25156918252300786	1.4492151609769324e-11	2.7449643002827817e-09
f16997	16997	0.25124634723177214	1.5414566507675248e-11	2.902899513353463e-09
f18868	18868	0.2508033331449534	1.6774304176426458e-11	3.1409165671608123e-09
f4102	4102	0.25034654050277266	1.8298917960768688e-11	3.3876776482399343e-09
f3280	3280	-0.2503730771935913	1.820675900728952e-11	3.3876776482399343e-09
f28072	28072	-0.2502907114294892	1.849429670544899e-11	3.4046130024952387e-09
f5962	5962	-0.24985449648736147	2.009267482160805e-11	3.6781942377343717e-09
f10813	10813	-0.2497697058191174	2.041866760037575e-11	3.717104999606181e-09
f12631	12631	0.2496910216245825	2.072580198177212e-11	3.731555380981917e-09
f28382	28382	-0.2496911106906274	2.0725451784488684e-11	3.731555380981917e-09
f17063	17063	-0.24945630384974873	2.166905346542948e-11	3.8800630817223675e-09
f10583	10583	0.24925977235928076	2.2490997051382432e-11	4.005353214020106e-09
f30148	30148	0.24831756723262216	2.6873951624438757e-11	4.760030523403293e-09
f330	330	-0.2480981541381182	2.8008640947081288e-11	4.9343394976019335e-09
f16159	16159	0.24805820198508327	2.822022940723393e-11	4.945029289926425e-09
f10882	10882	0.24775237464104505	2.989244411550425e-11	5.210189408387464e-09
f16707	16707	-0.2474311376509562	3.1753081031864084e-11	5.5052114246144034e-09
f5356	5356	-0.24712948388013475	3.3602989695047614e-11	5.795277717512212e-09
f4968	4968	-0.24670628860737662	3.637671938439088e-11	6.240797595747227e-09
f26517	26517	-0.24649831803191724	3.782052845328022e-11	6.454703522693158e-09
f8261	8261	0.24567010272456458	4.4146078794989847e-11	7.495226476446773e-09
f25531	25531	0.2453699634351517	4.6684368820379497e-11	7.885326791269048e-09
f8737	8737	-0.24524943938646154	4.7743258335699136e-11	8.02282609817533e-09
f9712	9712	0.24400703966745893	6.011991786446523e-11	1.0051068717259167e-08
f31925	31925	0.24314333068555666	7.05159202956561e-11	1.1729267392122128e-08
f15491	15491	0.24307608275236722	7.139523960384347e-11	1.1815551572417893e-08
f29360	29360	0.24293439375941958	7.32830992249179e-11	1.2067038167849796e-08
f2019	2019	0.2427057684683668	7.643247006322691e-11	1.2522695895159097e-08
f7177	7177	0.24242458051164475	8.048738043140372e-11	1.3121445183961378e-08
f10722	10722	-0.24227698676696047	8.269901564555975e-11	1.3415254181552979e-08
f7925	7925	0.2421594232131098	8.450298288107183e-11	1.364036326624119e-08
f8080	8080	-0.24200741891460642	8.68924277866872e-11	1.3957309184873363e-08
f26218	26218	0.24187820968671722	8.897527200747825e-11	1.4222154698249012e-08
f17852	17852	0.24179782385342447	9.029558096803564e-11	1.436313396679899e-08
f26163	26163	0.2413645653166301	9.774758445008192e-11	1.547339539739268e-08
f10597	10597	-0.2413080559528859	9.876271565284957e-11	1.5558926281310455e-08
f1260	1260	0.241178224234346	1.0113412016063854e-10	1.585628157619045e-08
f21331	21331	-0.24100223281233998	1.0443750668896549e-10	1.6296229615162005e-08
f7107	7107	-0.24059682376607644	1.1245266830215251e-10	1.74637395020139e-08
f14182	14182	0.2405512531222991	1.133902889122453e-10	1.7526287674888936e-08
f12049	12049	0.24032814580852885	1.1809191442868721e-10	1.816730446947992e-08
f6732	6732	0.2399057263901761	1.2752008636074704e-10	1.947974186311597e-08
f21003	21003	0.23989313812302837	1.2781202699493205e-10	1.947974186311597e-08
f12794	12794	0.23983885873848151	1.29078329094152e-10	1.958166059146839e-08
f25118	25118	0.23963109767038826	1.3403928216503747e-10	2.0240549299465197e-08
f29987	29987	-0.23946567768796634	1.3812171991065045e-10	2.0761341825835752e-08
f689	689	-0.23931756416100225	1.418797572598388e-10	2.122883966159999e-08
f26361	26361	0.23871330258081516	1.5827168531140199e-10	2.357384811038191e-08
f10940	10940	0.23839376184949918	1.6767197815228805e-10	2.4860974570561878e-08
f28366	28366	-0.23830563076179684	1.7035899438572706e-10	2.5145601477619387e-08
f20758	20758	0.23809784848591226	1.768612896478372e-10	2.5988299278835557e-08
f11848	11848	-0.2378858600699917	1.8374439325355844e-10	2.6879179813091976e-08
f22436	22436	0.23750806860786378	1.9666398916299893e-10	2.8641269319525105e-08
f19161	19161	0.23706110407752704	2.1309532144909197e-10	3.089693581081348e-08
f23718	23718	-0.23702048220739408	2.1465333476087534e-10	3.0985728957904686e-08
f28164	28164	0.2367527576673722	2.2520295792411517e-10	3.2366011075690375e-08
f28800	28800	0.2360698260983009	2.54454914397842e-10	3.641038705235147e-08
f6817	6817	-0.23598772574532145	2.582115881437694e-10	3.678729269693494e-08
f16878	16878	0.23594690554671147	2.6009946520829846e-10	3.6895841021409195e-08
f18631	18631	0.2359049169564013	2.6205541165541283e-10	3.701306779795072e-08
f29600	29600	0.23586245289923635	2.640480828067009e-10	3.713445312193122e-08
f6486	6486	0.23560287765352123	2.7655385040020407e-10	3.872699388852089e-08
f4329	4329	-0.2353764065529346	2.879347378957237e-10	4.0149129750498186e-08
f1092	1092	0.2353086482731903	2.9142761820630996e-10	4.044413919656593e-08
f7327	7327	-0.23528763972478128	2.925189510982094e-10	4.044413919656593e-08
f11833	11833	-0.23516735913721978	2.988442670584009e-10	4.1145079592309584e-08
f19182	19182	0.23486951137298773	3.1508658181242304e-10	4.319982055577187e-08
f24288	24288	0.23473597018219122	3.2264518554573435e-10	4.405182266651093e-08
f30461	30461	0.23454964876679846	3.3348711586882484e-10	4.534317764643009e-08
f9562	9562	0.23437637512351742	3.4388783260956757e-10	4.6434712351520254e-08
f29710	29710	-0.23436880736668056	3.443492157415595e-10	4.6434712351520254e-08
f11630	11630	0.234251429354174	3.515830879164295e-10	4.7215879610022794e-08
f26736	26736	0.2340248659047284	3.659669522400055e-10	4.8946959555104086e-08
f24383	24383	0.23398078034592415	3.688316957510258e-10	4.912958132670574e-08
f14769	14769	0.23393566581587924	3.717859162817282e-10	4.932259475595008e-08
f5997	5997	0.23368244781449724	3.8880001983438973e-10	5.1371770362634205e-08
f26899	26899	0.23360530500146875	3.9413243155424723e-10	5.165972606867829e-08
f9622	9622	-0.2336123331525324	3.9364368374497746e-10	5.165972606867829e-08
f27739	27739	0.23333333986335386	4.1350604958305934e-10	5.398313240134537e-08
f23465	23465	0.23299791736090195	4.386805284585263e-10	5.7042395065591226e-08
f26301	26301	-0.2329394532840673	4.4321860982053826e-10	5.7404693306716985e-08
f15364	15364	0.23289128484349286	4.469918517230177e-10	5.766546849314899e-08
f12468	12468	-0.23274735293981044	4.5845402857904807e-10	5.891224160187548e-08
f4172	4172	0.23262771912626795	4.681986097685838e-10	5.992942205037873e-08
f6496	6496	0.23255910185631934	4.738784398341272e-10	6.042042302134117e-08
f12228	12228	-0.23250164682158198	4.786858795006172e-10	6.079681743983032e-08
f11205	11205	-0.2320928777068114	5.142866608544054e-10	6.506619808060678e-08
f6925	6925	-0.23203521413495531	5.195118116878172e-10	6.547447325148612e-08
f20333	20333	0.23191960700847927	5.301436584163268e-10	6.655841915320382e-08
f32534	32534	-0.23189581172901327	5.323581441050016e-10	6.6581342236766e-08
f16418	16418	-0.2318478026168356	5.368535212858233e-10	6.68882744695584e-08
f28787	28787	-0.2318015950272955	5.412151089784217e-10	6.71762753447156e-08
f9811	9811	0.2311132130891916	6.10426317073146e-10	7.548094172774659e-08
f27593	27593	0.23103109485723272	6.192368241050793e-10	7.628252726419263e-08
f19697	19697	0.23100701506635396	6.218437479238141e-10	7.631676379014061e-08
f14097	14097	0.23077624186694773	6.473757368912643e-10	7.880601368884437e-08
f27210	27210	-0.23075884290854146	6.493415434566644e-10	7.880601368884437e-08
f9650	9650	-0.23076360496708617	6.488029294536009e-10	7.880601368884437e-08
f31713	31713	0.2306886306138375	6.573336301283178e-10	7.948158078245283e-08
f25039	25039	-0.2306462840071392	6.622000450515944e-10	7.977562895680384e-08
f803	803	0.23023486697771198	7.113424172469173e-10	8.538193526867028e-08
f32040	32040	0.2300424568333109	7.355264131317464e-10	8.796251644343454e-08
f1925	1925	0.2299650540655944	7.45479257013692e-10	8.857489500758903e-08
f29865	29865	0.2299606213253031	7.460531928129447e-10	8.857489500758903e-08
f13661	13661	0.2297982144325839	7.673801943504488e-10	9.077802963348558e-08
f13657	13657	0.22928070755849564	8.393717558958345e-10	9.818054642290582e-08
f31521	31521	0.22926450269922696	8.417290259324738e-10	9.818054642290582e-08
f21324	21324	-0.22926304539196857	8.419413313243571e-10	9.818054642290582e-08
f18977	18977	-0.2293099695307845	8.351313738264402e-10	9.818054642290582e-08
f17456	17456	0.2290453266625738	8.74251770249776e-10	1.0090301981474591e-07
f2006	2006	-0.22904351461840106	8.745256844295605e-10	1.0090301981474591e-07
f22140	22140	-0.22907299837503328	8.700791872993713e-10	1.0090301981474591e-07
f19635	19635	-0.22897338010418994	8.851918463560468e-10	1.0177532077682435e-07
f12367	12367	0.22890835289567615	8.95194318483464e-10	1.025654805177138e-07
f24141	24141	0.22839250277212253	9.785357893100295e-10	1.1152350361419224e-07
f19819	19819	0.2283819487673877	9.803173691479685e-10	1.1152350361419224e-07
f10495	10495	0.22836260759908786	9.835904707184313e-10	1.1152350361419224e-07
f22077	22077	0.22786166238221325	1.072168141855293e-09	1.2114760576660083e-07
f5883	5883	0.22771852788355873	1.0988717718807498e-09	1.2373824818209074e-07
f1054	1054	-0.22761482702585836	1.11862161728989e-09	1.2553079847724353e-07
f4546	4546	0.22744544599685027	1.1516252340757084e-09	1.2879336406209152e-07
f8910	8910	0.2272015088525862	1.20082592641158e-09	1.3380574459392799e-07
f5593	5593	0.22718314705340367	1.204611042944603e-09	1.3380574459392799e-07
f18752	18752	0.22714875074458413	1.2117327856345538e-09	1.3414209432321979e-07
f14743	14743	0.22707409922181654	1.2273305493326089e-09	1.3541133818360583e-07
f25297	25297	-0.22662279715137426	1.3258699687728217e-09	1.4579230582801283e-07
f32603	32603	0.22643425783799778	1.3692781394316029e-09	1.5006189322038383e-07
f12813	12813	0.22627551222868894	1.406895973707948e-09	1.5367055755487345e-07
f17908	17908	0.22623264756727612	1.4172247273015093e-09	1.5428445137613242e-07
f19116	19116	-0.22618335255222577	1.4291941399899824e-09	1.550722966198402e-07
f700	700	0.2259460415184494	1.488205690500842e-09	1.6094232365125938e-07
f918	918	0.22584126620320902	1.5150077561670765e-09	1.630541320593797e-07
f22548	22548	0.22581167768533397	1.5226612674002134e-09	1.630541320593797e-07
f16331	16331	-0.2258118876835102	1.5226068159873933e-09	1.630541320593797e-07
f19296	19296	-0.22559410207487238	1.5801068258472898e-09	1.6865452921616936e-07
f6012	6012	0.2252182403390489	1.6843465899332134e-09	1.7919697746406342e-07
f24548	24548	-0.2251864134150332	1.6934742063922661e-09	1.7958499286427759e-07
f24144	24144	0.22484425108696376	1.7946911656866305e-09	1.8970464553941776e-07
f11128	11128	0.224734517402677	1.828380261991748e-09	1.9264425860111125e-07
f7931	7931	0.2246117306062911	1.8668058084496504e-09	1.9606247670281456e-07
f2407	2407	-0.22429177388900218	1.9706603253581063e-09	2.063086183429215e-07
f10795	10795	0.22419059136989183	2.0046566533083806e-09	2.091993287121306e-07
f30495	30495	0.22416406832240662	2.0136620298370293e-09	2.0947199172603104e-07
f22552	22552	-0.2239591612735386	2.0845721958704156e-09	2.1616222061481575e-07
f28442	28442	0.22392181660000351	2.0977546288159144e-09	2.1684297689917944e-07
f9000	9000	0.22390188517658652	2.1048234251379858e-09	2.168894779714513e-07
f18775	18775	0.22387510004453282	2.114359406014438e-09	2.17189119173295e-07
f19118	19118	0.22363718979271352	2.200923389595997e-09	2.253745550946301e-07
f7610	7610	0.2233628714520259	2.3050139243353994e-09	2.3529811922935318e-07
f7643	7643	0.22334348162041717	2.3125498063264032e-09	2.3533426103634653e-07
f12932	12932	0.2230186319415787	2.4424222477637654e-09	2.4778109044805904e-07
f21973	21973	-0.22285131004487194	2.5120546979424077e-09	2.5405866772276794e-07
f20321	20321	-0.22228820578497482	2.7608581616305095e-09	2.7836246227787244e-07
f30190	30190	-0.2222465141289356	2.7802026908458784e-09	2.794530115755759e-07
f6212	6212	0.2220971171575561	2.8506089813884557e-09	2.8565368532763583e-07
f11534	11534	-0.2218766392135071	2.957688260603141e-09	2.9017224228575963e-07
f16793	16793	-0.2218766392135071	2.957688260603141e-09	2.9017224228575963e-07
f18018	18018	-0.2218766392135071	2.957688260603141e-09	2.9017224228575963e-07
f23790	23790	-0.2218766392135071	2.957688260603141e-09	2.9017224228575963e-07
f28391	28391	-0.2218766392135071	2.957688260603141e-09	2.9017224228575963e-07
f30062	30062	-0.2218766392135071	2.957688260603141e-09	2.9017224228575963e-07
f31336	31336	-0.2218766392135071	2.957688260603141e-09	2.9017224228575963e-07
f24513	24513	0.22168002985506355	3.056464098528723e-09	2.989678077032513e-07
f24347	24347	0.2215963959344703	3.0994464445777577e-09	3.0226982469024986e-07
f30627	30627	-0.22137690894440265	3.2150602344401755e-09	3.12614521549364e-07
f12716	12716	0.22135279582401354	3.228014259280014e-09	3.1294547706534765e-07
f6028	6028	-0.22129419247068602	3.2597088199650978e-09	3.150859546094877e-07
f28128	28128	0.22114218947763048	3.3433324579901112e-09	3.222185823041764e-07
f20918	20918	0.2209748946904434	3.437778049799045e-09	3.2941772730915846e-07
f1332	1332	0.22097426798483186	3.4381366802896786e-09	3.2941772730915846e-07
f13647	13647	-0.2208316059348366	3.520727461775039e-09	3.363475144823454e-07
f7762	7762	-0.22080045532705367	3.5390160445684956e-09	3.3711185391982694e-07
f24816	24816	0.22065922965354848	3.623093998876885e-09	3.4412041784115297e-07
f13477	13477	-0.2205738167008529	3.6748823462566177e-09	3.4803047607554005e-07
f30584	30584	0.22050455127514734	3.717407305011211e-09	3.510432350737964e-07
f31227	31227	0.2203821518312564	3.793724933881213e-09	3.572206282569528e-07
f21034	21034	0.22035163132145177	3.812990633118115e-09	3.5800595147855127e-07
f26347	26347	0.22029822612247776	3.846930873177867e-09	3.6016065957797814e-07
f5450	5450	0.2201960184532119	3.9127062472772455e-09	3.6527509490250936e-07
f11299	11299	0.22006589253117806	3.998030440912692e-09	3.721802883176906e-07
f14278	14278	0.2198163438224671	4.166745074103433e-09	3.8678725945671757e-07
f9408	9408	0.21979860829574757	4.178995371483613e-09	3.86828588510664e-07
f25346	25346	-0.21975603936693353	4.208541516921792e-09	3.884661645816712e-07
f13751	13751	0.2195918979752914	4.324379309823003e-09	3.980372506300004e-07
