feature,stat_spearman_rho,effect_spearman_rho,p_value,p_adj_bh,direction
f1,0.8056386755392603,0.8056386755392603,1.8443468289349585e-59,2.360763941036747e-57,up
f0,0.793002877311912,0.793002877311912,2.224110001978479e-56,1.4234304012662266e-54,up
f76,-0.646307104085202,-0.646307104085202,1.5032227904092963e-31,6.413750572412997e-30,down
f96,-0.481276537165204,-0.481276537165204,3.4430260760712516e-16,1.1017683443428005e-14,down
f69,0.47887497321599004,0.47887497321599004,5.054341254074775e-16,1.2939113610431423e-14,up
f85,-0.47566683806134197,-0.47566683806134197,8.401453899738887e-16,1.792310165277629e-14,down
f120,0.4617866986583732,0.4617866986583732,7.128501423725565e-15,1.3034974031955318e-13,up
f123,0.4473540833892159,0.4473540833892159,5.956489592761863e-14,9.530383348418981e-13,up
f99,0.44445957448186535,0.44445957448186535,9.009858370475806e-14,1.2814020793565591e-12,up
f43,-0.4271230124784712,-0.4271230124784712,9.912989561796751e-13,1.2688626639099841e-11,down
f106,-0.42629756561926435,-0.42629756561926435,1.1074608756647193e-12,1.288681746228037e-11,down
f48,0.41558127618324675,0.41558127618324675,4.542973553326827e-12,4.845838456881949e-11,up
f116,-0.4109371393685184,-0.4109371393685184,8.247605448578438e-12,8.120719210908e-11,down
f26,-0.4072411411625184,-0.4072411411625184,1.317067142000856e-11,1.1238972945073972e-10,down
f79,0.4076324479849568,0.4076324479849568,1.2537299835877712e-11,1.1238972945073972e-10,up
f66,-0.3963353692020918,-0.3963353692020918,5.070425257068219e-11,4.056340205654575e-10,down
f72,0.3826149468695061,0.3826149468695061,2.5812036725706054e-10,1.9434945299355146e-09,up
f60,-0.3818461269716169,-0.3818461269716169,2.8214158857186085e-10,1.9856322970580476e-09,down
f73,0.38146788790948255,0.38146788790948255,2.9474229409455393e-10,1.9856322970580476e-09,up
f35,0.3665764490563159,0.3665764490563159,1.5755753782363649e-09,1.0083682420712736e-08,up
f59,-0.3611852719442051,-0.3611852719442051,2.8312786398102095e-09,1.7257317423605087e-08,down
f127,0.357898004241049,0.357898004241049,4.0260910304577886e-09,2.3424529631754407e-08,up
f125,-0.35669649627975847,-0.35669649627975847,4.574428146867715e-09,2.5457687078220328e-08,down
f33,-0.34551049345947804,-0.34551049345947804,1.4642895527869783e-08,7.809544281530552e-08,down
f20,-0.33901073468157233,-0.33901073468157233,2.8200617678601272e-08,1.443871625144385e-07,down
f62,-0.3275292552810833,-0.3275292552810833,8.655404062012556e-08,4.2611219997600274e-07,down
f107,-0.3196022066833002,-0.3196022066833002,1.8282045879771058e-07,8.667043972632205e-07,down
f97,0.3105665764197222,0.3105665764197222,4.1777240100154974e-07,1.9098166902927986e-06,up
f98,0.3062150122384682,0.3062150122384682,6.160096617459443e-07,2.7189391966717545e-06,up
f84,-0.30384684367669806,-0.30384684367669806,7.589817444130179e-07,3.133860105963429e-06,down
f109,-0.30412997848328616,-0.30412997848328616,7.403482359407586e-07,3.133860105963429e-06,down
f74,-0.3027150304370292,-0.3027150304370292,8.380525311255404e-07,3.3522101245021615e-06,down
f50,0.30127104292342993,0.30127104292342993,9.504278271542271e-07,3.6865079356285174e-06,up
f29,0.2881190681640711,0.2881190681640711,2.898810843029029e-06,1.0913170232579872e-05,up
f47,-0.2842081778997376,-0.2842081778997376,3.995945004941771e-06,1.4613741732358478e-05,down
f54,0.27995316994739705,0.27995316994739705,5.635302045060998e-06,2.0036629493550215e-05,up
f58,-0.276998404145311,-0.276998404145311,7.131019346252633e-06,2.4669472332982084e-05,down
f110,0.27591378004007355,0.27591378004007355,7.769349977535602e-06,2.6170442029593608e-05,up
f112,0.27401242091583194,0.27401242091583194,9.021406119286203e-06,2.9608717519708564e-05,up
f55,-0.26967102054814784,-0.26967102054814784,1.2636587583748747e-05,4.043708026799599e-05,down
f49,-0.26465953447153856,-0.26465953447153856,1.8512769230025446e-05,5.7795962474225785e-05,down
f42,0.2601860045274466,0.2601860045274466,2.5865793202469314e-05,7.882908404562076e-05,up
f53,-0.2561487925801738,-0.2561487925801738,3.4799828239813576e-05,0.00010359018638828227,down
f70,0.25495091455230107,0.25495091455230107,3.796670067146879e-05,0.00011044858377154557,up
f95,-0.2514836021516223,-0.2514836021516223,4.8736084858996826e-05,0.00013862708582114652,down
f75,0.24767289804961992,0.24767289804961992,6.386514358566476e-05,0.00017393060380776785,up
